Tournament,2019 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Kisenosato,Y,0-4-0
Hakuho,Y,10-4-1
Kakuryu,Y,2-3-10
Takayasu,O,9-6-0
Goeido,O,9-6-0
Tochinoshin,O,0-4-11
Takakeisho,S,11-4-0
Tamawashi,S,13-2-0*
Myogiryu,K,5-10-0
Mitakeumi,K,8-4-3
Tochiozan,M1,6-9-0
Ichinojo,M1,6-9-0
Nishikigi,M2,7-8-0
Hokutofuji,M2,9-6-0
Shodai,M3,7-8-0
Shohozan,M3,5-10-0
Kotoshogiku,M4,6-9-0
Okinoumi,M4,7-8-0
Aoiyama,M5,7-8-0
Yoshikaze,M5,3-12-0
Chiyotairyu,M6,8-7-0
Onosho,M6,8-7-0
Ryuden,M7,6-9-0
Daieisho,M7,9-6-0
Kaisei,M8,10-5-0
Asanoyama,M8,8-7-0
Takanoiwa,M9,0-0-15
Endo,M9,10-5-0
Takarafuji,M10,9-6-0
Abi,M10,10-5-0
Sadanoumi,M11,9-6-0
Ikioi,M11,9-6-0
Kagayaki,M12,6-9-0
Meisei,M12,8-7-0
Yago,M13,9-6-0
Kotoyuki,M13,4-7-4
Yutakayama,M14,6-9-0
Chiyoshoma,M14,6-9-0
Chiyonokuni,M15,8-3-4
Kotoeko,M15,7-8-0
Daiamami,M16,4-11-0
Daishomaru,M16,3-12-0
