Tournament,2019 Aki basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,4-4-7
Hakuho,Y,0-2-13
Takayasu,O,0-0-15
Goeido,O,10-5-0
Tochinoshin,O,6-9-0
Mitakeumi,S,12-3-0*
Takakeisho,S,12-3-0
Abi,K,9-6-0
Endo,K,8-7-0
Hokutofuji,M1,9-6-0
Aoiyama,M1,5-10-0
Ichinojo,M2,1-4-10
Asanoyama,M2,10-5-0
Daieisho,M3,8-7-0
Tomokaze,M3,7-8-0
Tamawashi,M4,7-8-0
Shodai,M4,3-12-0
Chiyotairyu,M5,2-13-0
Ryuden,M5,7-8-0
Shimanoumi,M6,5-10-0
Myogiryu,M6,8-5-2
Kotoshogiku,M7,6-9-0
Kotoeko,M7,7-8-0
Okinoumi,M8,11-4-0
Takarafuji,M8,9-6-0
Terutsuyoshi,M9,4-11-0
Kotoyuki,M9,9-6-0
Sadanoumi,M10,8-7-0
Meisei,M10,10-5-0
Onosho,M11,9-6-0
Enho,M11,9-6-0
Shohozan,M12,9-6-0
Daishoho,M12,5-10-0
Kagayaki,M13,6-9-0
Nishikigi,M13,6-9-0
Tsurugisho,M14,10-5-0
Toyonoshima,M14,1-9-5
Ishiura,M15,8-7-0
Azumaryu,M15,6-9-0
Yutakayama,M16,10-5-0
Tochiozan,M16,6-9-0
Takagenji,M17,4-11-0
