Tournament,2019 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Kakuryu,Y,11-4-0
Goeido,O,9-6-0
Takayasu,O,9-6-0
Takakeisho,O,3-4-8
Ichinojo,S,5-7-3
Tochinoshin,S,10-5-0
Aoiyama,K,6-9-0
Mitakeumi,K,9-6-0
Hokutofuji,M1,7-8-0
Kotoshogiku,M1,6-9-0
Endo,M2,7-8-0
Daieisho,M2,7-8-0
Chiyotairyu,M3,6-9-0
Tamawashi,M3,10-5-0
Okinoumi,M4,5-10-0
Abi,M4,10-5-0
Myogiryu,M5,6-9-0
Ryuden,M5,10-5-0
Takarafuji,M6,8-7-0
Yoshikaze,M6,4-11-0
Shodai,M7,10-5-0
Meisei,M7,10-5-0
Kaisei,M8,3-5-7
Asanoyama,M8,12-3-0*
Nishikigi,M9,5-10-0
Tomokaze,M9,8-7-0
Kagayaki,M10,5-10-0
Onosho,M10,8-7-0
Shohozan,M11,8-7-0
Tochiozan,M11,6-9-0
Shimanoumi,M12,10-5-0
Yago,M12,6-9-0
Chiyomaru,M13,7-8-0
Sadanoumi,M13,7-8-0
Tokushoryu,M14,4-11-0
Enho,M14,7-8-0
Terutsuyoshi,M15,6-9-0
Kotoeko,M15,8-7-0
Daishoho,M16,9-6-0
Ishiura,M16,5-10-0
Chiyoshoma,M17,5-10-0
