Tournament,2019 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,14-1-0*
Hakuho,Y,12-3-0
Goeido,O,3-5-7
Takayasu,O,8-3-4
Takakeisho,O,0-0-15
Tochinoshin,O,0-6-9
Mitakeumi,S,9-6-0
Tamawashi,S,5-10-0
Abi,K,8-7-0
Ryuden,K,4-11-0
Asanoyama,M1,7-8-0
Hokutofuji,M1,9-6-0
Aoiyama,M2,8-7-0
Endo,M2,10-5-0
Shodai,M3,7-8-0
Daieisho,M3,8-7-0
Meisei,M4,4-11-0
Ichinojo,M4,9-6-0
Kotoshogiku,M5,7-8-0
Takarafuji,M5,6-9-0
Chiyotairyu,M6,8-7-0
Shimanoumi,M6,8-7-0
Myogiryu,M7,8-7-0
Tomokaze,M7,11-4-0
Onosho,M8,6-9-0
Okinoumi,M8,8-7-0
Shohozan,M9,6-9-0
Daishoho,M9,6-9-0
Kotoeko,M10,9-6-0
Takagenji,M10,4-11-0
Yoshikaze,M11,0-0-15
Nishikigi,M11,6-9-0
Tochiozan,M12,5-10-0
Kagayaki,M12,7-8-0
Chiyomaru,M13,5-10-0
Sadanoumi,M13,9-6-0
Toyonoshima,M14,7-8-0
Enho,M14,9-6-0
Yago,M15,4-11-0
Kaisei,M15,1-10-4
Kotoyuki,M16,11-4-0
Terutsuyoshi,M16,12-3-0
