Tournament,2022 Haru basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,3-3-9
Shodai,O,9-6-0
Takakeisho,O,8-7-0
Mitakeumi,O,11-4-0
Wakatakakage,S,12-3-0*
Abi,S,8-7-0
Takanosho,K,4-11-0
Hoshoryu,K,8-7-0
Daieisho,M1,8-7-0
Ura,M1,4-11-0
Ichinojo,M2,9-6-0
Tamawashi,M2,7-8-0
Onosho,M3,6-9-0
Meisei,M3,1-14-0
Kiribayama,M4,10-5-0
Endo,M4,8-7-0
Takarafuji,M5,6-9-0
Ishiura,M5,2-7-6
Hokutofuji,M6,9-6-0
Kotonowaka,M6,11-4-0
Takayasu,M7,12-3-0
Okinoumi,M7,5-10-0
Chiyoshoma,M8,5-10-0
Sadanoumi,M8,5-10-0
Tobizaru,M9,9-6-0
Wakamotoharu,M9,9-6-0
Shimanoumi,M10,8-7-0
Aoiyama,M10,7-8-0
Myogiryu,M11,7-8-0
Terutsuyoshi,M11,8-7-0
Kotoeko,M12,9-6-0
Chiyotairyu,M12,7-8-0
Chiyomaru,M13,5-10-0
Chiyonokuni,M13,5-6-4
Kotoshoho,M14,9-6-0
Yutakayama,M14,7-8-0
Akua,M15,4-11-0
Tochinoshin,M15,9-6-0
Nishikigi,M16,9-6-0
Kotokuzan,M16,7-8-0
Kagayaki,M17,7-8-0
Ichiyamamoto,M17,8-7-0
