Tournament,2022 Aki basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,5-5-5
Takakeisho,O,10-5-0
Shodai,O,4-11-0
Mitakeumi,O,4-11-0
Wakatakakage,S,11-4-0
Hoshoryu,S,8-7-0
Daieisho,S,7-8-0
Abi,K,0-0-15
Ichinojo,K,6-9-0
Kiribayama,K,9-6-0
Tobizaru,M1,10-5-0
Midorifuji,M1,7-8-0
Kotonowaka,M2,8-7-0
Meisei,M2,8-7-0
Tamawashi,M3,13-2-0*
Ura,M3,8-7-0
Nishikigi,M4,6-9-0
Takayasu,M4,11-4-0
Takarafuji,M5,5-10-0
Sadanoumi,M5,9-6-0
Wakamotoharu,M6,10-5-0
Endo,M6,7-8-0
Aoiyama,M7,6-9-0
Onosho,M7,5-10-0
Tochinoshin,M8,7-8-0
Hokutofuji,M8,10-5-0
Myogiryu,M9,8-7-0
Kotoeko,M9,6-9-0
Nishikifuji,M10,10-5-0
Takanosho,M10,8-7-0
Kotoshoho,M11,7-8-0
Chiyotairyu,M11,6-9-0
Okinoumi,M12,6-9-0
Ryuden,M12,11-4-0
Ichiyamamoto,M13,6-9-0
Oho,M13,7-8-0
Chiyoshoma,M14,9-6-0
Yutakayama,M14,4-11-0
Terutsuyoshi,M15,6-9-0
Tsurugisho,M15,5-10-0
Mitoryu,M16,5-10-0
Hiradoumi,M16,7-8-0
