Tournament,2022 Natsu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,12-3-0*
Mitakeumi,O,6-9-0
Shodai,O,5-10-0
Takakeisho,O,8-7-0
Wakatakakage,S,9-6-0
Abi,S,7-8-0
Hoshoryu,K,8-7-0
Daieisho,K,11-4-0
Takayasu,M1,6-9-0
Ichinojo,M1,0-0-15
Kiribayama,M2,10-5-0
Kotonowaka,M2,9-6-0
Hokutofuji,M3,5-10-0
Tamawashi,M3,9-6-0
Endo,M4,7-8-0
Takanosho,M4,11-4-0
Onosho,M5,2-4-9
Tobizaru,M5,7-8-0
Ura,M6,9-5-1
Wakamotoharu,M6,9-6-0
Takarafuji,M7,4-11-0
Kotoeko,M7,6-9-0
Shimanoumi,M8,7-8-0
Terutsuyoshi,M8,5-10-0
Kotoshoho,M9,6-9-0
Tochinoshin,M9,8-7-0
Okinoumi,M10,9-6-0
Nishikigi,M10,8-7-0
Aoiyama,M11,10-5-0
Chiyoshoma,M11,6-9-0
Myogiryu,M12,6-9-0
Sadanoumi,M12,11-4-0
Chiyotairyu,M13,8-7-0
Meisei,M13,8-7-0
Oho,M14,6-9-0
Yutakayama,M14,6-9-0
Azumaryu,M15,5-10-0
Ichiyamamoto,M15,8-7-0
Ishiura,M16,0-0-15
Midorifuji,M16,9-6-0
Kotokuzan,M17,2-13-0
Kagayaki,M17,6-9-0
