Tournament,2022 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,0-0-15
Takakeisho,O,12-3-0
Shodai,O,6-9-0
Wakatakakage,S,8-7-0
Hoshoryu,S,11-4-0
Mitakeumi,S,6-9-0
Tamawashi,K,6-9-0
Kiribayama,K,8-7-0
Tobizaru,K,7-8-0
Daieisho,K,7-8-0
Takayasu,M1,12-3-0
Kotonowaka,M1,9-6-0
Meisei,M2,9-6-0
Ichinojo,M2,4-11-0
Ura,M3,4-11-0
Midorifuji,M3,8-7-0
Wakamotoharu,M4,10-5-0
Sadanoumi,M4,8-7-0
Hokutofuji,M5,7-8-0
Nishikifuji,M5,9-6-0
Nishikigi,M6,8-7-0
Ryuden,M6,9-6-0
Endo,M7,6-9-0
Myogiryu,M7,8-7-0
Takarafuji,M8,3-12-0
Tochinoshin,M8,6-9-0
Takanosho,M9,7-8-0
Abi,M9,12-3-0*
Aoiyama,M10,7-8-0
Chiyoshoma,M10,7-8-0
Onosho,M11,9-6-0
Kotoshoho,M11,7-8-0
Kotoeko,M12,7-8-0
Chiyotairyu,M12,2-6-0
Okinoumi,M13,8-7-0
Oho,M13,10-5-0
Ichiyamamoto,M14,7-8-0
Azumaryu,M14,7-8-0
Kagayaki,M15,9-6-0
Atamifuji,M15,4-11-0
Terutsuyoshi,M16,0-15-0
Hiradoumi,M16,10-5-0
