Tournament,2022 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,11-4-0
Takakeisho,O,1-3-11
Shodai,O,6-9-0
Mitakeumi,S,13-2-0*
Takanosho,S,7-8-0
Meisei,K,5-10-0
Daieisho,K,7-8-0
Wakatakakage,M1,9-6-0
Kiribayama,M1,6-9-0
Ura,M2,8-7-0
Ichinojo,M2,8-7-0
Tamawashi,M3,8-7-0
Endo,M3,7-8-0
Okinoumi,M4,4-11-0
Hokutofuji,M4,6-9-0
Onosho,M5,10-5-0
Chiyoshoma,M5,4-11-0
Hoshoryu,M6,11-4-0
Abi,M6,12-3-0
Takayasu,M7,0-0-15
Takarafuji,M7,9-6-0
Hidenoumi,M8,0-0-15
Tobizaru,M8,6-9-0
Chiyonokuni,M9,4-11-0
Shimanoumi,M9,5-6-4
Myogiryu,M10,5-8-2
Akua,M10,4-11-0
Sadanoumi,M11,8-7-0
Terutsuyoshi,M11,7-8-0
Ishiura,M12,11-4-0
Chiyotairyu,M12,7-8-0
Chiyomaru,M13,7-8-0
Yutakayama,M13,6-9-0
Kotonowaka,M14,11-4-0
Ichiyamamoto,M14,5-10-0
Wakamotoharu,M15,9-6-0
Tochinoshin,M15,7-8-0
Aoiyama,M16,8-7-0
Tsurugisho,M16,6-9-0
Kotoeko,M17,8-7-0
Kaisei,M17,5-7-3
Oho,M18,7-8-0
