Tournament,2022 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,11-4-0
Takakeisho,O,11-4-0
Mitakeumi,O,2-5-8
Shodai,O,10-5-0
Wakatakakage,S,8-7-0
Daieisho,S,6-7-2
Hoshoryu,K,9-6-0
Abi,K,8-7-0
Kiribayama,M1,8-7-0
Takanosho,M1,1-6-8
Kotonowaka,M2,7-4-4
Ichinojo,M2,12-3-0*
Tamawashi,M3,5-8-2
Ura,M3,7-8-0
Wakamotoharu,M4,6-9-0
Takayasu,M4,0-0-15
Endo,M5,3-10-2
Sadanoumi,M5,7-8-0
Aoiyama,M6,6-9-0
Tobizaru,M6,8-5-2
Okinoumi,M7,4-11-0
Hokutofuji,M7,6-9-0
Tochinoshin,M8,7-8-0
Nishikigi,M8,8-5-2
Shimanoumi,M9,1-14-0
Kotoeko,M9,5-6-4
Chiyotairyu,M10,6-9-0
Meisei,M10,9-6-0
Kotoshoho,M11,5-6-4
Midorifuji,M11,10-5-0
Terutsuyoshi,M12,6-9-0
Takarafuji,M12,9-6-0
Ichiyamamoto,M13,6-3-6
Chiyoshoma,M13,7-8-0
Myogiryu,M14,9-6-0
Tsurugisho,M14,5-8-2
Onosho,M15,10-5-0
Oho,M15,8-7-0
Yutakayama,M16,8-7-0
Daiamami,M16,2-9-4
Nishikifuji,M17,10-5-0
Chiyomaru,M17,6-9-0
