Tournament,2007 Natsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,10-5-0
Hakuho,O,15-0-0*
Kotooshu,O,9-6-0
Kaio,O,10-5-0
Tochiazuma,O,0-0-0
Chiyotaikai,O,10-5-0
Kotomitsuki,S,12-3-0
Ama,S,8-7-0
Toyonoshima,K,4-11-0
Kotoshogiku,K,7-8-0
Homasho,M1,5-10-0
Tokitenku,M1,8-7-0
Kokkai,M2,3-12-0
Tamanoshima,M2,6-9-0
Kakizoe,M3,0-12-3
Kisenosato,M3,6-9-0
Aminishiki,M4,9-6-0
Tochiozan,M4,6-9-0
Takekaze,M5,8-7-0
Kakuryu,M5,6-9-0
Tokitsuumi,M6,3-12-0
Kasugao,M6,5-10-0
Takamisakari,M7,9-6-0
Wakanosato,M7,10-5-0
Kyokutenho,M8,0-0-15
Asasekiryu,M8,12-3-0
Roho,M9,10-5-0
Miyabiyama,M9,9-6-0
Dejima,M10,12-3-0
Shimotori,M10,0-0-15
Otsukasa,M11,4-11-0
Tochinonada,M11,8-7-0
Tamakasuga,M12,5-10-0
Satoyama,M12,7-8-0
Futen'o,M13,10-5-0
Tochinohana,M13,4-11-0
Ryuo,M14,10-5-0
Hochiyama,M14,6-9-0
Ushiomaru,M15,5-10-0
Iwakiyama,M15,6-9-0
Hokutoriki,M16,9-6-0
Kasuganishiki,M16,4-11-0
