Tournament,2007 Haru basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0
Chiyotaikai,O,7-8-0
Hakuho,O,13-2-0*
Kotooshu,O,8-7-0
Kaio,O,8-7-0
Tochiazuma,O,8-4-3
Kotomitsuki,S,10-5-0
Kotoshogiku,S,7-8-0
Ama,K,8-7-0
Tokitenku,K,7-8-0
Kisenosato,M1,6-9-0
Toyonoshima,M1,8-7-0
Kyokutenho,M2,4-11-0
Asasekiryu,M2,4-11-0
Miyabiyama,M3,4-4-7
Kasugao,M3,5-10-0
Futen'o,M4,3-12-0
Takekaze,M4,7-8-0
Homasho,M5,11-4-0
Tamakasuga,M5,4-11-0
Takamisakari,M6,7-8-0
Kakizoe,M6,8-7-0
Kokkai,M7,10-5-0
Roho,M7,7-8-0
Dejima,M8,7-8-0
Tamanoshima,M8,10-5-0
Aminishiki,M9,9-6-0
Tochinonada,M9,7-8-0
Kasuganishiki,M10,4-11-0
Tokitsuumi,M10,8-7-0
Iwakiyama,M11,5-10-0
Kakuryu,M11,9-6-0
Ushiomaru,M12,6-9-0
Yoshikaze,M12,5-10-0
Hakurozan,M13,5-10-0
Baruto,M13,0-0-15
Tochiozan,M14,11-4-0
Tosanoumi,M14,6-9-0
Shimotori,M15,9-6-0
Tochinohana,M15,8-7-0
Wakanosato,M16,11-4-0
Jumonji,M16,4-9-2
