Tournament,2007 Aki basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,0-0-15
Hakuho,Y,13-2-0*
Chiyotaikai,O,9-6-0
Kotooshu,O,8-7-0
Kaio,O,1-5-9
Kotomitsuki,O,10-5-0
Aminishiki,S,10-5-0
Asasekiryu,S,8-7-0
Kisenosato,K,6-9-0
Ama,K,10-5-0
Tokitenku,M1,6-9-0
Homasho,M1,8-7-0
Tochinonada,M2,4-11-0
Kakuryu,M2,7-8-0
Hokutoriki,M3,3-12-0
Kotoshogiku,M3,10-5-0
Dejima,M4,8-7-0
Wakanosato,M4,5-10-0
Toyonoshima,M5,8-7-0
Miyabiyama,M5,9-6-0
Toyohibiki,M6,7-8-0
Kaiho,M6,4-11-0
Tamanoshima,M7,8-7-0
Tokitsuumi,M7,5-10-0
Takekaze,M8,9-6-0
Tosanoumi,M8,6-9-0
Roho,M9,6-9-0
Takamisakari,M9,8-7-0
Iwakiyama,M10,4-11-0
Kasugao,M10,10-5-0
Tamakasuga,M11,8-7-0
Futen'o,M11,8-7-0
Kokkai,M12,7-8-0
Kyokutenho,M12,12-3-0
Ryuo,M13,3-12-0
Tochiozan,M13,7-8-0
Kitazakura,M14,4-11-0
Goeido,M14,11-4-0
Hakurozan,M15,9-6-0
Yoshikaze,M15,10-5-0
Kasuganishiki,M16,7-8-0
Kakizoe,M16,9-6-0
