Tournament,2007 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,14-1-0*
Kotooshu,O,9-6-0
Tochiazuma,O,5-10-0
Kaio,O,8-7-0
Chiyotaikai,O,10-5-0
Hakuho,O,10-5-0
Kotomitsuki,S,8-7-0
Miyabiyama,S,5-10-0
Kisenosato,K,7-8-0
Roho,K,3-12-0
Kotoshogiku,M1,9-6-0
Dejima,M1,4-11-0
Tokitenku,M2,8-7-0
Aminishiki,M2,4-11-0
Kyokutenho,M3,8-7-0
Baruto,M3,2-2-11
Ama,M4,10-5-0
Homasho,M4,7-8-0
Takamisakari,M5,7-8-0
Kokkai,M5,7-8-0
Asasekiryu,M6,10-5-0
Tochinonada,M6,6-9-0
Kasugao,M7,8-7-0
Futen'o,M7,8-7-0
Kakuryu,M8,6-9-0
Takekaze,M8,8-7-0
Kakizoe,M9,8-7-0
Toyonoshima,M9,12-3-0
Iwakiyama,M10,7-8-0
Jumonji,M10,4-11-0
Tamakasuga,M11,9-6-0
Tochinohana,M11,5-10-0
Toyozakura,M12,3-12-0
Tokitsuumi,M12,8-7-0
Kasuganishiki,M13,9-6-0
Yoshikaze,M13,8-7-0
Tamanoshima,M14,10-5-0
Hakurozan,M14,8-7-0
Asofuji,M15,4-11-0
Ushiomaru,M15,9-6-0
Tosanoumi,M16,11-4-0
Otsukasa,M16,7-8-0
