Tournament,2007 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,14-1-0*
Hakuho,Y,11-4-0
Kaio,O,8-5-2
Chiyotaikai,O,9-6-0
Kotooshu,O,9-6-0
Kotomitsuki,S,13-2-0
Ama,S,7-8-0
Tokitenku,K,7-8-0
Aminishiki,K,8-7-0
Kotoshogiku,M1,5-10-0
Asasekiryu,M1,8-7-0
Dejima,M2,5-10-0
Wakanosato,M2,5-10-0
Takekaze,M3,4-11-0
Roho,M3,3-1-11
Takamisakari,M4,3-12-0
Toyonoshima,M4,7-8-0
Miyabiyama,M5,7-8-0
Tamanoshima,M5,6-9-0
Homasho,M6,9-6-0
Kisenosato,M6,11-4-0
Tochiozan,M7,4-6-5
Futen'o,M7,5-10-0
Kakuryu,M8,9-6-0
Ryuo,M8,5-10-0
Tochinonada,M9,10-5-0
Kokkai,M9,6-9-0
Kasugao,M10,7-8-0
Hokutoriki,M10,10-5-0
Tokitsuumi,M11,8-7-0
Kitazakura,M11,6-9-0
Hakurozan,M12,6-9-0
Satoyama,M12,2-13-0
Yoshikaze,M13,6-9-0
Tosanoumi,M13,8-7-0
Baruto,M14,0-2-13
Toyohibiki,M14,11-4-0
Kaiho,M15,10-5-0
Tamakasuga,M15,8-7-0
Kakizoe,M16,6-9-0
Hochiyama,M16,6-9-0
Otsukasa,M17,6-9-0
