Tournament,2007 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0*
Asashoryu,Y,0-0-15
Kotomitsuki,O,10-5-0
Chiyotaikai,O,11-4-0
Kotooshu,O,2-5-8
Kaio,O,9-6-0
Aminishiki,S,8-7-0
Asasekiryu,S,3-12-0
Ama,K,10-5-0
Kotoshogiku,K,9-6-0
Homasho,M1,3-12-0
Miyabiyama,M1,7-8-0
Kisenosato,M2,9-6-0
Dejima,M2,10-5-0
Kakuryu,M3,4-11-0
Tokitenku,M3,9-6-0
Toyonoshima,M4,9-6-0
Kyokutenho,M4,4-11-0
Takekaze,M5,6-9-0
Kasugao,M5,4-11-0
Tamanoshima,M6,4-11-0
Goeido,M6,8-7-0
Toyohibiki,M7,7-8-0
Tochinonada,M7,8-7-0
Wakanosato,M8,8-7-0
Takamisakari,M8,5-5-5
Tamakasuga,M9,8-7-0
Futen'o,M9,6-9-0
Hokutoriki,M10,8-7-0
Yoshikaze,M10,4-11-0
Tosanoumi,M11,7-8-0
Roho,M12,10-5-0
Hakurozan,M12,3-12-0
Kokkai,M13,9-6-0
Wakanoho,M13,9-6-0
Kakizoe,M14,9-6-0
Kaiho,M14,6-9-0
Tochiozan,M15,7-8-0
Wakakirin,M15,10-5-0
Baruto,M16,11-4-0
Kasuganishiki,M16,7-8-0
