Tournament,2021 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Terunofuji,O,14-1-0
Takakeisho,O,1-2-12
Shodai,O,8-7-0
Asanoyama,O,0-0-15
Takayasu,S,7-6-2
Mitakeumi,S,8-7-0
Wakatakakage,K,5-10-0
Meisei,K,8-7-0
Endo,M1,1-4-10
Daieisho,M1,5-10-0
Takanosho,M2,8-7-0
Ichinojo,M2,10-5-0
Hokutofuji,M3,8-7-0
Tobizaru,M3,4-11-0
Kotoeko,M4,2-13-0
Chiyotairyu,M4,4-11-0
Okinoumi,M5,5-10-0
Hoshoryu,M5,10-5-0
Onosho,M6,7-8-0
Kiribayama,M6,9-6-0
Myogiryu,M7,5-10-0
Chiyoshoma,M7,8-7-0
Takarafuji,M8,8-7-0
Aoiyama,M8,7-8-0
Hidenoumi,M9,7-8-0
Shimanoumi,M9,8-7-0
Tamawashi,M10,11-4-0
Terutsuyoshi,M10,8-7-0
Kaisei,M11,6-9-0
Kotonowaka,M11,12-3-0
Tochinoshin,M12,7-8-0
Kagayaki,M12,7-8-0
Chiyomaru,M13,6-9-0
Ura,M13,10-5-0
Daiamami,M14,4-11-0
Chiyono-o [ja],M14,7-8-0
Tsurugisho,M15,8-7-0
Tokushoryu,M15,7-8-0
Chiyonokuni,M16,7-8-0
Ishiura,M16,9-6-0
Ichiyamamoto,M17,8-7-0
