Tournament,2021 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Kakuryu,Y,0-0-15
Takakeisho,O,2-8-5
Shodai,O,11-4-0
Asanoyama,O,11-4-0
Terunofuji,S,11-4-0
Takanosho,S,9-6-0
Takayasu,K,9-6-0
Mitakeumi,K,9-6-0
Hokutofuji,M1,7-8-0
Daieisho,M1,13-2-0*
Takarafuji,M2,9-6-0
Wakatakakage,M2,0-0-15
Kotoshoho,M3,2-13-0
Onosho,M3,9-6-0
Tochinoshin,M4,4-11-0
Tamawashi,M4,6-9-0
Endo,M5,7-8-0
Okinoumi,M5,7-8-0
Ryuden,M6,4-11-0
Kagayaki,M6,6-9-0
Meisei,M7,8-7-0
Tobizaru,M7,6-9-0
Tokushoryu,M8,3-12-0
Kiribayama,M8,8-7-0
Chiyonokuni,M9,0-0-15
Myogiryu,M9,8-7-0
Shimanoumi,M10,9-6-0
Aoiyama,M10,6-9-0
Chiyotairyu,M11,0-0-15
Kotoeko,M11,6-9-0
Ichinojo,M12,9-6-0
Terutsuyoshi,M12,7-8-0
Akua,M13,5-10-0
Chiyoshoma,M13,0-0-15
Hoshoryu,M14,9-6-0
Midorifuji,M14,9-6-0
Yutakayama,M15,7-8-0
Kotonowaka,M15,10-5-0
Akiseyama,M16,9-6-0
Kaisei,M16,0-0-15
Sadanoumi,M17,5-10-0
