Tournament,2021 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,2-1-12
Kakuryu,Y,0-0-10
Shodai,O,7-8-0
Asanoyama,O,10-5-0
Takakeisho,O,10-5-0
Terunofuji,S,12-3-0*
Takanosho,S,8-7-0
Takayasu,K,10-5-0
Mitakeumi,K,8-7-0
Daieisho,K,8-7-0
Takarafuji,M1,3-12-0
Onosho,M1,4-11-0
Hokutofuji,M2,9-6-0
Wakatakakage,M2,10-5-0
Meisei,M3,10-5-0
Shimanoumi,M3,4-11-0
Kiribayama,M4,7-8-0
Myogiryu,M4,7-8-0
Endo,M5,5-5-5
Okinoumi,M5,3-12-0
Tamawashi,M6,5-10-0
Ichinojo,M6,7-8-0
Tochinoshin,M7,7-8-0
Kagayaki,M7,6-9-0
Kotonowaka,M8,6-9-0
Tobizaru,M8,10-5-0
Chiyonokuni,M9,8-5-2
Hoshoryu,M9,8-7-0
Midorifuji,M10,5-10-0
Ryuden,M10,6-9-0
Chiyotairyu,M11,6-9-0
Kotoshoho,M11,1-6-8
Akiseyama,M12,7-8-0
Aoiyama,M12,11-4-0
Terutsuyoshi,M13,8-7-0
Chiyoshoma,M13,8-7-0
Kotoeko,M14,8-7-0
Tsurugisho,M14,9-6-0
Yutakayama,M15,4-10-1
Hidenoumi,M15,10-5-0
Kaisei,M16,8-7-0
Daiamami,M16,9-6-0
