Tournament,2021 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Terunofuji,Y,13-2-0*
Shodai,O,8-7-0
Takakeisho,O,8-7-0
Mitakeumi,S,9-6-0
Meisei,S,8-7-0
Asanoyama,S,0-0-15
Takayasu,K,4-8-3
Ichinojo,K,8-7-0
Hoshoryu,M1,5-8-2
Takanosho,M1,7-8-0
Hokutofuji,M2,2-3-10
Kiribayama,M2,9-6-0
Wakatakakage,M3,9-6-0
Kotonowaka,M3,3-7-5
Tamawashi,M4,6-9-0
Daieisho,M4,10-5-0
Chiyoshoma,M5,5-10-0
Takarafuji,M5,8-7-0
Ura,M6,7-8-0
Onosho,M6,10-5-0
Shimanoumi,M7,8-7-0
Terutsuyoshi,M7,5-10-0
Okinoumi,M8,10-5-0
Tobizaru,M8,7-8-0
Aoiyama,M9,7-8-0
Hidenoumi,M9,7-8-0
Chiyotairyu,M10,7-8-0
Myogiryu,M10,11-4-0
Endo,M11,11-4-0
Kotoeko,M11,8-7-0
Ishiura,M12,0-0-15
Tochinoshin,M12,7-8-0
Kagayaki,M13,7-8-0
Tsurugisho,M13,5-10-0
Kaisei,M14,6-9-0
Yutakayama,M14,8-7-0
Ichiyamamoto,M15,4-11-0
Chiyonoo [ja],M15,4-11-0
Chiyomaru,M16,8-7-0
Tokushoryu,M16,4-11-0
Chiyonokuni,M17,9-6-0
