Tournament,2021 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Terunofuji,Y,15-0-0*
Shodai,O,9-6-0
Takakeisho,O,12-3-0
Mitakeumi,S,11-4-0
Meisei,S,7-8-0
Ichinojo,K,5-10-0
Kiribayama,K,6-9-0
Daieisho,M1,8-7-0
Wakatakakage,M1,8-7-0
Onosho,M2,5-10-0
Takanosho,M2,11-4-0
Okinoumi,M3,7-8-0
Myogiryu,M3,2-13-0
Takarafuji,M4,5-10-0
Endo,M4,8-7-0
Takayasu,M5,6-9-0
Hoshoryu,M5,7-8-0
Shimanoumi,M6,5-10-0
Tamawashi,M6,9-6-0
Ura,M7,10-5-0
Chiyoshoma,M7,8-7-0
Kotoeko,M8,3-12-0
Tobizaru,M8,7-8-0
Aoiyama,M9,4-11-0
Hidenoumi,M9,8-7-0
Chiyotairyu,M10,6-9-0
Asanoyama,M10,0-0-15
Kotonowaka,M11,6-9-0
Terutsuyoshi,M11,7-8-0
Ishiura,M12,7-8-0
Hokutofuji,M12,11-4-0
Yutakayama,M13,7-8-0
Tochinoshin,M13,6-6-3
Kagayaki,M14,5-10-0
Chiyonokuni,M14,9-6-0
Chiyomaru,M15,8-7-0
Abi,M15,12-3-0
Akua,M16,9-6-0
Sadanoumi,M16,9-6-0
Kaisei,M17,7-8-0
Shohozan,M17,4-11-0
