Tournament,2021 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-0-15
Asanoyama,O,7-5-3
Takakeisho,O,12-3-0
Shodai,O,9-6-0
Terunofuji,O,12-3-0*
Takayasu,S,10-5-0
Takanosho,S,5-10-0
Mitakeumi,K,10-5-0
Daieisho,K,6-9-0
Wakatakakage,M1,9-6-0
Hokutofuji,M1,6-9-0
Meisei,M2,8-7-0
Tobizaru,M2,5-10-0
Aoiyama,M3,4-3-8
Chiyonokuni,M3,0-4-11
Kiribayama,M4,6-9-0
Myogiryu,M4,6-9-0
Hoshoryu,M5,7-8-0
Onosho,M5,7-8-0
Hidenoumi,M6,5-10-0
Ichinojo,M6,9-6-0
Tochinoshin,M7,5-10-0
Takarafuji,M7,7-8-0
Tsurugisho,M8,4-11-0
Endo,M8,11-4-0
Shimanoumi,M9,7-8-0
Kagayaki,M9,6-9-0
Tamawashi,M10,7-8-0
Terutsuyoshi,M10,7-8-0
Kotonowaka,M11,7-8-0
Chiyoshoma,M11,8-7-0
Kotoeko,M12,9-6-0
Okinoumi,M12,9-6-0
Akiseyama,M13,1-7-7
Daiamami,M13,7-8-0
Ryuden,M14,0-0-15
Chiyotairyu,M14,10-5-0
Kaisei,M15,9-6-0
Midorifuji,M15,0-0-15
Ishiura,M16,7-8-0
Chiyomaru,M16,8-7-0
Akua,M17,5-10-0
