Sport,League,Team,City,State/Prov,Country
Baseball,Frontier League (IND),Florence Y'alls,Florence,Kentucky,USA
Baseball,Frontier League (IND),Gateway Grizzlies,Sauget,Illinois,USA
Baseball,Frontier League (IND),Joliet Slammers,Joliet,Illinois,USA
Baseball,Frontier League (IND),Lake Erie Crushers,Avon,Ohio,USA
Baseball,Frontier League (IND),Mississippi Mud Monsters,Pearl,Mississippi,USA
Baseball,Frontier League (IND),New Jersey Jackals,Paterson,New Jersey,USA
Baseball,Frontier League (IND),New York Boulders,Pomona,New York,USA
Baseball,Frontier League (IND),Ottawa Titans,Ottawa,Ontario,Canada
Baseball,Frontier League (IND),Quebec Capitales,Quebec City,Quebec,Canada
Baseball,Frontier League (IND),Schaumburg Boomers,Schaumburg,Illinois,USA
Baseball,Frontier League (IND),Sussex County Miners,Augusta,New Jersey,USA
Baseball,Frontier League (IND),Tri-City ValleyCats,Troy,New York,USA
Baseball,Frontier League (IND),Trois-Rivieres Aigles,Trois-Rivieres,Quebec,Canada
Baseball,Frontier League (IND),Washington Wild Things,Washington,Pennsylvania,USA
Baseball,Frontier League (IND),Windy City ThunderBolts,Crestwood,Illinois,USA
Baseball,Pioneer League (IND),Billings Mustangs,Billings,Montana,USA
Baseball,Pioneer League (IND),Boise Hawks,Boise,Idaho,USA
Baseball,Pioneer League (IND),Glacier Range Riders,Kalispell,Montana,USA
Baseball,Pioneer League (IND),Great Falls Voyagers,Great Falls,Montana,USA
Baseball,Pioneer League (IND),Idaho Falls Chukars,Idaho Falls,Idaho,USA
Baseball,Pioneer League (IND),Long Beach Coast,Long Beach,California,USA
Baseball,Pioneer League (IND),Missoula PaddleHeads,Missoula,Montana,USA
Baseball,Pioneer League (IND),Modesto Roadsters,Modesto,California,USA
Baseball,Pioneer League (IND),Oakland Ballers,Oakland,California,USA
Baseball,Pioneer League (IND),Ogden Raptors,Ogden,Utah,USA
Baseball,Pioneer League (IND),RedPocket Mobiles,Traveling team,Traveling team,USA
Baseball,Pioneer League (IND),Yuba-Sutter Freebirds,Marysville,California,USA
Baseball,Canadian Baseball League (IND),Barrie Baycats,Springwater,Ontario,Canada
Baseball,Canadian Baseball League (IND),Brantford Red Sox,Brantford,Ontario,Canada
Baseball,Canadian Baseball League (IND),Chatham-Kent Barnstormers,Chatham-Kent,Ontario,Canada
Baseball,Canadian Baseball League (IND),Guelph Royals,Guelph,Ontario,Canada
Baseball,Canadian Baseball League (IND),Hamilton Cardinals,Hamilton,Ontario,Canada
Baseball,Canadian Baseball League (IND),Kitchener Panthers,Kitchener,Ontario,Canada
Baseball,Canadian Baseball League (IND),London Majors,London,Ontario,Canada
Baseball,Canadian Baseball League (IND),Toronto Maple Leafs,Toronto,Ontario,Canada
Baseball,Canadian Baseball League (IND),Welland Jackfish,Welland,Ontario,Canada
Baseball,Empire Professional Baseball League (IND),Malone Border Hounds,Malone,New York,USA
Baseball,Empire Professional Baseball League (IND),North Country Thunderbirds,Plattsburgh,New York,USA
Baseball,Empire Professional Baseball League (IND),Saranac Lake Surge,Saranac Lake,New York,USA
Baseball,Empire Professional Baseball League (IND),Tupper Lake Riverpigs,Tupper Lake,New York,USA
Baseball,Pecos League (IND),Alpine Cowboys,Alpine,Texas,USA
Baseball,Pecos League (IND),Austin Weirdos,Austin,Texas,USA
Baseball,Pecos League (IND),Bakersfield Train Robbers,Bakersfield,California,USA
Baseball,Pecos League (IND),Blackwell FlyCatchers,Blackwell,Oklahoma,USA
Baseball,Pecos League (IND),Dublin Leprechauns,Dublin,California,USA
Baseball,Pecos League (IND),Garden City Wind,Garden City,Kansas,USA
Baseball,Pecos League (IND),Martinez Sturgeon,Martinez,California,USA
Baseball,Pecos League (IND),Marysville Drakes,Marysville,California,USA
Baseball,Pecos League (IND),North Platte 80s,North Platte,Nebraska,USA
Baseball,Pecos League (IND),Pecos Bills,Pecos,Texas,USA
Baseball,Pecos League (IND),Roswell Invaders,Roswell,New Mexico,USA
Baseball,Pecos League (IND),San Rafael Pacifics,San Rafael,California,USA
Baseball,Pecos League (IND),Santa Fe Fuego,Santa Fe,New Mexico,USA
Baseball,Pecos League (IND),Trinidad Triggers,Trinidad,Colorado,USA
Baseball,Pecos League (IND),Tucson Saguaros,Tucson,Arizona,USA
Baseball,Pecos League (IND),Vallejo Seaweed,Vallejo,California,USA
Hockey,National Hockey League,Boston Bruins,Boston,Massachusetts,USA
Hockey,National Hockey League,Buffalo Sabres,Buffalo,New York,USA
Hockey,National Hockey League,Detroit Red Wings,Detroit,Michigan,USA
Hockey,National Hockey League,Florida Panthers,Sunrise,Florida,USA
Hockey,National Hockey League,Montreal Canadiens,Montreal,Quebec,Canada
Hockey,National Hockey League,Ottawa Senators,Ottawa,Ontario,Canada
Hockey,National Hockey League,Tampa Bay Lightning,Tampa,Florida,USA
Hockey,National Hockey League,Toronto Maple Leafs,Toronto,Ontario,Canada
Hockey,National Hockey League,Carolina Hurricanes,Raleigh,North Carolina,USA
Hockey,National Hockey League,Columbus Blue Jackets,Columbus,Ohio,USA
Hockey,National Hockey League,New Jersey Devils,Newark,New Jersey,USA
Hockey,National Hockey League,New York Islanders,Elmont,New York,USA
Hockey,National Hockey League,New York Rangers,New York,New York,USA
Hockey,National Hockey League,Philadelphia Flyers,Philadelphia,Pennsylvania,USA
Hockey,National Hockey League,Pittsburgh Penguins,Pittsburgh,Pennsylvania,USA
Hockey,National Hockey League,Washington Capitals,Washington,D.C.,USA
Hockey,National Hockey League,Chicago Blackhawks,Chicago,Illinois,USA
Hockey,National Hockey League,Colorado Avalanche,Denver,Colorado,USA
Hockey,National Hockey League,Dallas Stars,Dallas,Texas,USA
Hockey,National Hockey League,Minnesota Wild,Saint Paul,Minnesota,USA
Hockey,National Hockey League,Nashville Predators,Nashville,Tennessee,USA
Hockey,National Hockey League,St. Louis Blues,St. Louis,Missouri,USA
Hockey,National Hockey League,Utah Mammoth,Salt Lake City,Utah,USA
Hockey,National Hockey League,Winnipeg Jets,Winnipeg,Manitoba,Canada
Hockey,National Hockey League,Anaheim Ducks,Anaheim,California,USA
Hockey,National Hockey League,Calgary Flames,Calgary,Alberta,Canada
Hockey,National Hockey League,Edmonton Oilers,Edmonton,Alberta,Canada
Hockey,National Hockey League,Los Angeles Kings,Los Angeles,California,USA
Hockey,National Hockey League,San Jose Sharks,San Jose,California,USA
Hockey,National Hockey League,Seattle Kraken,Seattle,Washington,USA
Hockey,National Hockey League,Vancouver Canucks,Vancouver,British Columbia,Canada
Hockey,National Hockey League,Vegas Golden Knights,Paradise,Nevada,USA
Hockey,American Hockey League (AAA),Charlotte Checkers,Charlotte,North Carolina,USA
Hockey,American Hockey League (AAA),Hartford Wolf Pack,Hartford,Connecticut,USA
Hockey,American Hockey League (AAA),Hershey Bears,Hershey,Pennsylvania,USA
Hockey,American Hockey League (AAA),Lehigh Valley Phantoms,Allentown,Pennsylvania,USA
Hockey,American Hockey League (AAA),Providence Bruins,Providence,Rhode Island,USA
Hockey,American Hockey League (AAA),Springfield Thunderbirds,Springfield,Massachusetts,USA
Hockey,American Hockey League (AAA),Wilkes-Barre/Scranton Penguins,Wilkes-Barre Township,Pennsylvania,USA
Hockey,American Hockey League (AAA),Belleville Senators,Belleville,Ontario,Canada
Hockey,American Hockey League (AAA),Cleveland Monsters,Cleveland,Ohio,USA
Hockey,American Hockey League (AAA),Hamilton Hammers,Hamilton,Ontario,Canada
Hockey,American Hockey League (AAA),Laval Rocket,Laval,Quebec,Canada
Hockey,American Hockey League (AAA),Rochester Americans,Rochester,New York,USA
Hockey,American Hockey League (AAA),Syracuse Crunch,Syracuse,New York,USA
Hockey,American Hockey League (AAA),Toronto Marlies,Toronto,Ontario,Canada
Hockey,American Hockey League (AAA),Utica Comets,Utica,New York,USA
Hockey,American Hockey League (AAA),Chicago Wolves,Rosemont,Illinois,USA
Hockey,American Hockey League (AAA),Grand Rapids Griffins,Grand Rapids,Michigan,USA
Hockey,American Hockey League (AAA),Iowa Wild,Des Moines,Iowa,USA
Hockey,American Hockey League (AAA),Manitoba Moose,Winnipeg,Manitoba,Canada
Hockey,American Hockey League (AAA),Milwaukee Admirals,Milwaukee,Wisconsin,USA
Hockey,American Hockey League (AAA),Rockford IceHogs,Rockford,Illinois,USA
Hockey,American Hockey League (AAA),Texas Stars,Cedar Park,Texas,USA
Hockey,American Hockey League (AAA),Abbotsford Canucks,Abbotsford,British Columbia,Canada
Hockey,American Hockey League (AAA),Bakersfield Condors,Bakersfield,California,USA
Hockey,American Hockey League (AAA),Calgary Wranglers,Calgary,Alberta,Canada
Hockey,American Hockey League (AAA),Coachella Valley Firebirds,Thousand Palms,California,USA
Hockey,American Hockey League (AAA),Colorado Eagles,Loveland,Colorado,USA
Hockey,American Hockey League (AAA),Henderson Silver Knights,Henderson,Nevada,USA
Hockey,American Hockey League (AAA),Ontario Reign,Ontario,California,USA
Hockey,American Hockey League (AAA),San Diego Gulls,San Diego,California,USA
Hockey,American Hockey League (AAA),San Jose Barracuda,San Jose,California,USA
Hockey,American Hockey League (AAA),Tucson Roadrunners,Tucson,Arizona,USA
Hockey,ECHL (AA),Adirondack Thunder,Glens Falls,New York,USA
Hockey,ECHL (AA),Greensboro Gargoyles,Greensboro,North Carolina,USA
Hockey,ECHL (AA),Maine Mariners,Portland,Maine,USA
Hockey,ECHL (AA),Norfolk Admirals,Norfolk,Virginia,USA
Hockey,ECHL (AA),Reading Royals,Reading,Pennsylvania,USA
Hockey,ECHL (AA),Trois-Rivières Lions,Trois-Rivières,Quebec,Canada
Hockey,ECHL (AA),Wheeling Nailers,Wheeling,West Virginia,USA
Hockey,ECHL (AA),Worcester Railers,Worcester,Massachusetts,USA
Hockey,ECHL (AA),Atlanta Gladiators,Duluth,Georgia,USA
Hockey,ECHL (AA),Florida Everblades,Estero,Florida,USA
Hockey,ECHL (AA),Greenville Swamp Rabbits,Greenville,South Carolina,USA
Hockey,ECHL (AA),Jacksonville Icemen,Jacksonville,Florida,USA
Hockey,ECHL (AA),Orlando Solar Bears,Orlando,Florida,USA
Hockey,ECHL (AA),Savannah Ghost Pirates,Savannah,Georgia,USA
Hockey,ECHL (AA),South Carolina Stingrays,North Charleston,South Carolina,USA
Hockey,ECHL (AA),Bloomington Bison,Bloomington,Illinois,USA
Hockey,ECHL (AA),Cincinnati Cyclones,Cincinnati,Ohio,USA
Hockey,ECHL (AA),Fort Wayne Komets,Fort Wayne,Indiana,USA
Hockey,ECHL (AA),Indy Fuel,Fishers,Indiana,USA
Hockey,ECHL (AA),Kalamazoo Wings,Kalamazoo,Michigan,USA
Hockey,ECHL (AA),Toledo Walleye,Toledo,Ohio,USA
Hockey,ECHL (AA),Allen Americans,Allen,Texas,USA
Hockey,ECHL (AA),Idaho Steelheads,Boise,Idaho,USA
Hockey,ECHL (AA),Kansas City Mavericks,Independence,Missouri,USA
Hockey,ECHL (AA),Rapid City Rush,Rapid City,South Dakota,USA
Hockey,ECHL (AA),Tahoe Knight Monsters,Stateline,Nevada,USA
Hockey,ECHL (AA),Tulsa Oilers,Tulsa,Oklahoma,USA
Hockey,ECHL (AA),Wichita Thunder,Wichita,Kansas,USA
Hockey,ECHL (AA),New Mexico Goatheads,Rio Rancho,New Mexico,USA
Hockey,ECHL (AA),Trenton Ironhawks,Trenton,New Jersey,USA
Hockey,ECHL (AA),Augusta Lynx,Augusta,Georgia,USA
Hockey,SPHL (A),Athens Rock Lobsters,Athens,Georgia,USA
Hockey,SPHL (A),Birmingham Bulls,Pelham,Alabama,USA
Hockey,SPHL (A),Evansville Thunderbolts,Evansville,Indiana,USA
Hockey,SPHL (A),Fayetteville Marksmen,Fayetteville,North Carolina,USA
Hockey,SPHL (A),Huntsville Havoc,Huntsville,Alabama,USA
Hockey,SPHL (A),Knoxville Ice Bears,Knoxville,Tennessee,USA
Hockey,SPHL (A),Macon Mayhem,Macon,Georgia,USA
Hockey,SPHL (A),Pee Dee IceCats,Florence,South Carolina,USA
Hockey,SPHL (A),Pensacola Ice Flyers,Pensacola,Florida,USA
Hockey,SPHL (A),Peoria Rivermen,Peoria,Illinois,USA
Hockey,SPHL (A),Quad City Storm,Moline,Illinois,USA
Hockey,SPHL (A),Roanoke Rail Yard Dawgs,Roanoke,Virginia,USA
Hockey,SPHL (A),Mobile Pro Hockey Club,Mobile,Alabama,USA
Hockey,Federal Prospects Hockey League (A),Columbus River Dragons,Columbus,Georgia,USA
Hockey,Federal Prospects Hockey League (A),Monroe Moccasins,Monroe,Louisiana,USA
Hockey,Federal Prospects Hockey League (A),Twin City Thunderbirds,Winston-Salem,North Carolina,USA
Hockey,Federal Prospects Hockey League (A),Binghamton Black Bears,Binghamton,New York,USA
Hockey,Federal Prospects Hockey League (A),Blue Ridge Bobcats,Wytheville,Virginia,USA
Hockey,Federal Prospects Hockey League (A),Danbury Hat Tricks,Danbury,Connecticut,USA
Hockey,Federal Prospects Hockey League (A),Indiana Sentinels,Columbus,Indiana,USA
Hockey,Federal Prospects Hockey League (A),Port Huron Prowlers,Port Huron,Michigan,USA
Hockey,Federal Prospects Hockey League (A),Topeka Scarecrows,Topeka,Kansas,USA
Hockey,Federal Prospects Hockey League (A),Watertown Wolves,Watertown,New York,USA
Hockey,Federal Prospects Hockey League (A),Baton Rouge FPHL Team,Baton Rouge,Louisiana,USA
Hockey,Federal Prospects Hockey League (A),Fresno Falcons,Fresno,California,USA
Hockey,Federal Prospects Hockey League (A),Mid-South Monarchs,Southaven,Mississippi,USA
Hockey,Federal Prospects Hockey League (A),Minnesota Northern Lights,Thief River Falls,Minnesota,USA
Hockey,Federal Prospects Hockey League (A),Motor City Rockers,Wyandotte,Michigan,USA
Hockey,Federal Prospects Hockey League (A),San Diego FPHL team,Oceanside,California,USA
Hockey,Federal Prospects Hockey League (A),Stockton Thunder,Stockton,California,USA
Hockey,Ontario Hockey League (Maj),Brantford Bulldogs,Brantford,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Kingston Frontenacs,Kingston,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Oshawa Generals,Oshawa,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Ottawa 67's,Ottawa,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Peterborough Petes,Peterborough,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Barrie Colts,Barrie,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Brampton Steelheads,Brampton,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Niagara IceDogs,St. Catharines,Ontario,Canada
Hockey,Ontario Hockey League (Maj),North Bay Battalion,North Bay,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Sudbury Wolves,Greater Sudbury,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Erie Otters,Erie,Pennsylvania,USA
Hockey,Ontario Hockey League (Maj),Guelph Storm,Guelph,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Kitchener Rangers,Kitchener,Ontario,Canada
Hockey,Ontario Hockey League (Maj),London Knights,London,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Owen Sound Attack,Owen Sound,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Flint Firebirds,Flint,Michigan,USA
Hockey,Ontario Hockey League (Maj),Saginaw Spirit,Saginaw,Michigan,USA
Hockey,Ontario Hockey League (Maj),Sarnia Sting,Sarnia,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Sault Ste. Marie Greyhounds,Sault Ste. Marie,Ontario,Canada
Hockey,Ontario Hockey League (Maj),Windsor Spitfires,Windsor,Ontario,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Baie-Comeau Drakkar,Baie-Comeau,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Chicoutimi Saguenéens,Saguenay,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Quebec Remparts,Quebec City,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Rimouski Océanic,Rimouski,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Cape Breton Eagles,Cape Breton Regional Municipality,Nova Scotia,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Charlottetown Islanders,Charlottetown,Prince Edward Island,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Halifax Mooseheads,Halifax,Nova Scotia,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Moncton Wildcats,Moncton,New Brunswick,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Newfoundland Regiment,St. John's,Newfoundland and Labrador,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Saint John Sea Dogs,Saint John,New Brunswick,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Blainville-Boisbriand Armada,Boisbriand,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Gatineau Olympiques,Gatineau,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Rouyn-Noranda Huskies,Rouyn-Noranda,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Val-d'Or Foreurs,Val-d'Or,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Drummondville Voltigeurs,Drummondville,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Shawinigan Cataractes,Shawinigan,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Sherbrooke Phoenix,Sherbrooke,Quebec,Canada
Hockey,Quebec Maritimes Junior Hockey League (Maj),Victoriaville Tigres,Victoriaville,Quebec,Canada
Hockey,Western Hockey League (Maj),Calgary Hitmen,Calgary,Alberta,Canada
Hockey,Western Hockey League (Maj),Edmonton Oil Kings,Edmonton,Alberta,Canada
Hockey,Western Hockey League (Maj),Lethbridge Hurricanes,Lethbridge,Alberta,Canada
Hockey,Western Hockey League (Maj),Medicine Hat Tigers,Medicine Hat,Alberta,Canada
Hockey,Western Hockey League (Maj),Red Deer Rebels,Red Deer,Alberta,Canada
Hockey,Western Hockey League (Maj),Brandon Wheat Kings,Brandon,Manitoba,Canada
Hockey,Western Hockey League (Maj),Moose Jaw Warriors,Moose Jaw,Saskatchewan,Canada
Hockey,Western Hockey League (Maj),Prince Albert Raiders,Prince Albert,Saskatchewan,Canada
Hockey,Western Hockey League (Maj),Regina Pats,Regina,Saskatchewan,Canada
Hockey,Western Hockey League (Maj),Saskatoon Blades,Saskatoon,Saskatchewan,Canada
Hockey,Western Hockey League (Maj),Swift Current Broncos,Swift Current,Saskatchewan,Canada
Hockey,Western Hockey League (Maj),Kamloops Blazers,Kamloops,British Columbia,Canada
Hockey,Western Hockey League (Maj),Kelowna Rockets,Kelowna,British Columbia,Canada
Hockey,Western Hockey League (Maj),Penticton Vees,Penticton,British Columbia,Canada
Hockey,Western Hockey League (Maj),Prince George Cougars,Prince George,British Columbia,Canada
Hockey,Western Hockey League (Maj),Vancouver Giants,Langley,British Columbia,Canada
Hockey,Western Hockey League (Maj),Victoria Royals,Victoria,British Columbia,Canada
Hockey,Western Hockey League (Maj),Everett Silvertips,Everett,Washington,USA
Hockey,Western Hockey League (Maj),Portland Winterhawks,Portland,Oregon,USA
Hockey,Western Hockey League (Maj),Seattle Thunderbirds,Kent,Washington,USA
Hockey,Western Hockey League (Maj),Spokane Chiefs,Spokane,Washington,USA
Hockey,Western Hockey League (Maj),Tri-City Americans,Kennewick,Washington,USA
Hockey,Western Hockey League (Maj),Wenatchee Wild,Wenatchee,Washington,USA
Hockey,Alberta Junior Hockey League (Junior A),Bonnyville Pontiacs,Bonnyville,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Devon Xtreme,Devon,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Fort McMurray Oil Barons,Fort McMurray,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Grande Prairie Storm,Grande Prairie,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Lloydminster Bobcats,Lloydminster,Saskatchewan,Canada
Hockey,Alberta Junior Hockey League (Junior A),Whitecourt Wolverines,Whitecourt,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Calgary Canucks,Calgary,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Camrose Kodiaks,Camrose,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Canmore Eagles,Canmore,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Drayton Valley Thunder,Drayton Valley,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Drumheller Dragons,Drumheller,Alberta,Canada
Hockey,Alberta Junior Hockey League (Junior A),Olds Grizzlys,Olds,Alberta,Canada
Hockey,British Columbia Hockey Conference (Junior A),Kamloops Storm,Kamloops,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Merritt Centennials,Merritt,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Princeton Posse,Princeton,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Quesnel River Rush,Quesnel,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Revelstoke Grizzlies,Revelstoke,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Summerland Jets,Summerland,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Williams Lake Mustangs,Williams Lake,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Beaver Valley Nitehawks,Fruitvale,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Columbia Valley Rockies,Invermere,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Fernie Ghostriders,Fernie,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Grand Forks Border Bruins,Grand Forks,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Kimberley Dynamiters,Kimberley,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Nelson Leafs,Nelson,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Osoyoos Coyotes,Osoyoos,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Burnaby Steelers,Burnaby,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Chilliwack Jets,Chilliwack,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Coastal Tsunami,Gibsons,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Delta Ice Hawks,Delta,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Langley Trappers,Langley,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Port Coquitlam Trailblazers,Port Coquitlam,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Richmond Sockeyes,Richmond,British Columbia,Canada
Hockey,British Columbia Hockey Conference (Junior A),Ridge Meadows Flames,Maple Ridge,British Columbia,Canada
Hockey,Central Canada Hockey League (Junior A),Brockville Braves,Brockville,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Carleton Place Canadians,Carleton Place,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Kemptville 73's,Kemptville,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Pembroke Lumber Kings,Pembroke,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Renfrew Wolves,Renfrew,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Smiths Falls Bears,Smiths Falls,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Cornwall Colts,Cornwall,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Hawkesbury Hawks,Hawkesbury,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Navan Grads,Ottawa,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Nepean Raiders,Ottawa,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Ottawa Jr. Senators,Ottawa,Ontario,Canada
Hockey,Central Canada Hockey League (Junior A),Rockland Nationals,Clarence-Rockland,Ontario,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Niverville Nighthawks,Niverville,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Portage Terriers,Portage la Prairie,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Selkirk Steelers,Selkirk,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Steinbach Pistons,Steinbach,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Winkler Flyers,Winkler,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Winnipeg Blues,Winnipeg,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Winnipeg Monarchs,Winnipeg,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Dauphin Kings,Dauphin,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Neepawa Titans,Neepawa,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Northern Manitoba Blizzard,The Pas,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Swan Valley Stampeders,Swan River,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Virden Oil Capitals,Virden,Manitoba,Canada
Hockey,Manitoba Junior Hockey League (Junior A),Waywayseecappo Wolverines,Waywayseecappo,Manitoba,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Campbellton Tigers,Campbellton,New Brunswick,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Edmundston Blizzard,Edmundston,New Brunswick,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Chaleur Lightning,Bathurst,New Brunswick,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Grand Falls Rapids,Grand Falls,New Brunswick,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Miramichi Timberwolves,Miramichi,New Brunswick,Canada
Hockey,Maritime Junior A Hockey League (Junior A),West Kent Steamers,Bouctouche,New Brunswick,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Amherst Ramblers,Amherst,Nova Scotia,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Pictou County Crushers,New Glasgow,Nova Scotia,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Summerside Western Capitals,Summerside,Prince Edward Island,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Truro Bearcats,Truro,Nova Scotia,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Valley Wildcats,Berwick,Nova Scotia,Canada
Hockey,Maritime Junior A Hockey League (Junior A),Yarmouth Mariners,Yarmouth,Nova Scotia,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Blind River Beavers,Blind River,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Elliot Lake Vikings,Elliot Lake,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Espanola Paper Kings,Espanola,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),French River Rapids,Noelville,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Greater Sudbury Cubs,Sudbury,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Hearst Lumberjacks,Hearst,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Iroquois Falls Storm,Iroquois Falls,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Kirkland Lake Gold Miners,Kirkland Lake,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Powassan Voodoos,Powassan,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Soo Eagles,Sault Ste. Marie,Michigan,USA
Hockey,Northern Ontario Junior Hockey League (Junior A),Soo Thunderbirds,Sault Ste. Marie,Ontario,Canada
Hockey,Northern Ontario Junior Hockey League (Junior A),Timmins Rock,Timmins,Ontario,Canada
