Table,Team,Division,City,State,Stadium,Capacity,Affiliate,State/Province,City (all in Florida),City (all in California),City (all in Arizona),Province,Affiliates
Overview of Frontier League teams,Mississippi Mud Monsters,West,Pearl,,Trustmark Park,6500,,Mississippi,,,,,
Overview of Frontier League teams,New Jersey Jackals,East,Paterson,,Hinchliffe Stadium,10000,,New Jersey,,,,,
Overview of Frontier League teams,New York Boulders,East,Pomona,,Clover Stadium,9362,,New York,,,,,
Overview of Frontier League teams,Ottawa Titans,East,Ottawa,,Ottawa Stadium,10332,,Ontario,,,,,
Overview of Frontier League teams,Québec Capitales,East,Quebec City,,Stade Canac,4297,,Quebec,,,,,
Overview of Frontier League teams,Schaumburg Boomers,West,Schaumburg,,Wintrust Field,7365,,Illinois,,,,,
Overview of Frontier League teams,Sussex County Miners,East,Augusta,,Skylands Stadium,5500,,New Jersey,,,,,
Overview of Frontier League teams,Tri-City ValleyCats,East,Troy,,Joseph L. Bruno Stadium,6500,,New York,,,,,
Overview of Frontier League teams,Trois-Rivières Aigles,East,Trois-Rivières,,Stade Quillorama,4000,,Quebec,,,,,
Overview of Frontier League teams,Washington Wild Things,West,Washington,,EQT Park,5200,,Pennsylvania,,,,,
Overview of Frontier League teams,Windy City ThunderBolts,West,Crestwood,,Ozinga Field,4200,,Illinois,,,,,
Overview of Pioneer League teams,Billings Mustangs,,Billings,Montana,Dehler Park,6500,,,,,,,
Overview of Pioneer League teams,Boise Hawks,,Boise,Idaho,Memorial Stadium,3452,,,,,,,
Overview of Pioneer League teams,Glacier Range Riders,,Kalispell,Montana,Glacier Bank Park,5500,,,,,,,
Overview of Pioneer League teams,Great Falls Voyagers,,Great Falls,Montana,Centene Stadium,2500,,,,,,,
Overview of Pioneer League teams,Idaho Falls Chukars,,Idaho Falls,Idaho,Melaleuca Field,3400,,,,,,,
Overview of Pioneer League teams,Long Beach Coast,,Long Beach,California,Blair Field,3238,,,,,,,
Overview of Pioneer League teams,Missoula PaddleHeads,,Missoula,Montana,Ogren Park at Allegiance Field,3500,,,,,,,
Overview of Pioneer League teams,Modesto Roadsters,,Modesto,California,John Thurman Field,4000,,,,,,,
Overview of Pioneer League teams,Oakland Ballers,,Oakland,California,Raimondi Park,2500,,,,,,,
Overview of Pioneer League teams,Ogden Raptors,,Ogden,Utah,Lindquist Field,8262,,,,,,,
Overview of Pioneer League teams,RedPocket Mobiles,,Traveling team,Traveling team,Traveling team,Traveling team,,,,,,,
Overview of Pioneer League teams,Yuba-Sutter Freebirds,,Marysville,California,Bryant Field,3500,,,,,,,
Overview of Canadian Baseball League teams,Barrie Baycats,,Springwater,,Athletic Kulture Stadium,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Brantford Red Sox,,Brantford,,Arnold Anderson Stadium,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Chatham-Kent Barnstormers,,Chatham-Kent,,Fergie Jenkins Field,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Guelph Royals,,Guelph,,Hastings Stadium,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Hamilton Cardinals,,Hamilton,,Bernie Arbour Memorial Stadium,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Kitchener Panthers,,Kitchener,,Jack Couch Park,,,,,,,Ontario,
Overview of Canadian Baseball League teams,London Majors,,London,,Labatt Park,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Toronto Maple Leafs,,Toronto,,Dominico Field,,,,,,,Ontario,
Overview of Canadian Baseball League teams,Welland Jackfish,,Welland,,Welland Stadium,,,,,,,Ontario,
Overview of Empire Professional Baseball League teams,Malone Border Hounds,,Malone,New York,American Legion Post 219 Veterans Field,,,,,,,,
Overview of Empire Professional Baseball League teams,North Country Thunderbirds,,Plattsburgh,New York,Chip Cummings Field,,,,,,,,
Overview of Empire Professional Baseball League teams,Saranac Lake Surge,,Saranac Lake,New York,Petrova Field,,,,,,,,
Overview of Empire Professional Baseball League teams,Tupper Lake Riverpigs,,Tupper Lake,New York,Municipal Park,,,,,,,,
Overview of Pecos League teams,Alpine Cowboys,Mountain,Alpine,Texas,Kokernot Field,,,,,,,,
Overview of Pecos League teams,Austin Weirdos,Mountain,Austin,Texas,Parque Zaragosa,,,,,,,,
Overview of Pecos League teams,Bakersfield Train Robbers,Pacific,Bakersfield,California,Sam Lynn Ballpark,,,,,,,,
Overview of Pecos League teams,Blackwell FlyCatchers,Mountain,Blackwell,Oklahoma,Morgan Field,,,,,,,,
Overview of Pecos League teams,Dublin Leprechauns,Pacific,Dublin,California,Fallon Sports Park,,,,,,,,
Overview of Pecos League teams,Garden City Wind,Mountain,Garden City,Kansas,Clint Lightner Field,,,,,,,,
Overview of Pecos League teams,Martinez Sturgeon,Pacific,Martinez,California,Waterfront Park,,,,,,,,
Overview of Pecos League teams,Marysville Drakes,Pacific,Marysville,California,Bryant Field,,,,,,,,
Overview of Pecos League teams,North Platte 80s,Mountain,North Platte,Nebraska,Bill Wood Field,,,,,,,,
Overview of Pecos League teams,Pecos Bills,Mountain,Pecos,Texas,Cyclone Ballpark,,,,,,,,
Overview of Pecos League teams,Roswell Invaders,Mountain,Roswell,New Mexico,Joe Baumann Park,,,,,,,,
Overview of Pecos League teams,San Rafael Pacifics,Pacific,San Rafael,California,Albert Park,,,,,,,,
Overview of Pecos League teams,Santa Fe Fuego,Mountain,Santa Fe,New Mexico,Fort Marcy Park,,,,,,,,
Overview of Pecos League teams,Trinidad Triggers,Mountain,Trinidad,Colorado,Central Park,,,,,,,,
Overview of Pecos League teams,Tucson Saguaros,Mountain,Tucson,Arizona,Kino Sports Complex,,,,,,,,
Overview of Pecos League teams,Vallejo Seaweed,Pacific,Vallejo,California,Wilson Park,,,,,,,,
Overview of United Shore Professional Baseball League teams,Birmingham Bloomfield Beavers,,Utica,Michigan,UWM Field,4500,,,,,,,
Overview of United Shore Professional Baseball League teams,Eastside Diamond Hoppers,,Utica,Michigan,UWM Field,4500,,,,,,,
Overview of United Shore Professional Baseball League teams,Utica Unicorns,,Utica,Michigan,UWM Field,4500,,,,,,,
Overview of United Shore Professional Baseball League teams,Westside Woolly Mammoths,,Utica,Michigan,UWM Field,4500,,,,,,,
Overview of United Shore Professional Baseball League teams,WPBL Boston,,Springfield,Illinois,Robin Roberts Stadium,5200,,,,,,,
Overview of United Shore Professional Baseball League teams,WPBL Los Angeles,,Springfield,Illinois,Robin Roberts Stadium,5200,,,,,,,
Overview of United Shore Professional Baseball League teams,WPBL New York,,Springfield,Illinois,Robin Roberts Stadium,5200,,,,,,,
Overview of United Shore Professional Baseball League teams,WPBL San Francisco,,Springfield,Illinois,Robin Roberts Stadium,5200,,,,,,,
