Tournament,2016 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,11-4-0
Kakuryu,Y,14-1-0*
Hakuho,Y,11-4-0
Goeido,O,9-6-0
Kisenosato,O,12-3-0
Kotoshogiku,O,5-10-0
Terunofuji,O,8-7-0
Takayasu,S,7-8-0
Okinoumi,S,5-10-0
Mitakeumi,K,6-9-0
Tamawashi,K,10-5-0
Tochiozan,M1,9-6-0
Aoiyama,M1,4-11-0
Kaisei,M2,3-12-0
Yoshikaze,M2,6-9-0
Endo,M3,7-8-0
Shodai,M3,11-4-0
Kotoyuki,M4,6-9-0
Chiyonokuni,M4,5-10-0
Shohozan,M5,8-7-0
Takarafuji,M5,9-6-0
Nishikigi,M6,4-11-0
Tochinoshin,M6,10-5-0
Takekaze,M7,9-6-0
Takanoiwa,M7,6-9-0
Sadanoumi,M8,3-12-0
Ikioi,M8,10-5-0
Myogiryu,M9,8-7-0
Kagayaki,M9,6-9-0
Chiyoshoma,M10,9-6-0
Arawashi,M10,11-4-0
Kyokushuho,M11,3-12-0
Hokutofuji,M11,9-6-0
Daishomaru,M12,7-8-0
Chiyootori,M12,6-9-0
Hidenoumi,M13,4-11-0
Ichinojo,M13,7-8-0
Sokokurai,M14,9-6-0
Chiyotairyu,M14,7-8-0
Ishiura,M15,10-5-0
Toyohibiki,M15,6-9-0
Gagamaru,M16,8-7-0
