Tournament,2016 Aki basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,12-3-0
Hakuho,Y,0-0-15
Kakuryu,Y,10-5-0
Kisenosato,O,10-5-0
Terunofuji,O,4-11-0
Goeido,O,15-0-0*
Kotoshogiku,O,9-6-0
Takayasu,S,10-5-0
Takarafuji,S,4-11-0
Kaisei,K,6-9-0
Tochiozan,K,7-8-0
Okinoumi,M1,9-6-0
Yoshikaze,M1,7-8-0
Tochinoshin,M2,5-10-0
Shodai,M2,7-8-0
Takanoiwa,M3,5-10-0
Ichinojo,M3,0-0-15
Myogiryu,M4,5-10-0
Chiyootori,M4,1-10-4
Aoiyama,M5,9-6-0
Mitakeumi,M5,10-5-0
Chiyonokuni,M6,8-7-0
Tamawashi,M6,10-5-0
Shohozan,M7,8-7-0
Ikioi,M7,7-8-0
Daishomaru,M8,4-11-0
Kotoyuki,M8,10-5-0
Nishikigi,M9,8-7-0
Takekaze,M9,8-7-0
Arawashi,M10,7-8-0
Sadanoumi,M10,8-7-0
Sokokurai,M11,5-10-0
Homarefuji,M11,0-4-11
Gagamaru,M12,5-10-0
Chiyoshoma,M12,8-7-0
Amakaze,M13,5-10-0
Toyohibiki,M13,6-9-0
Endo,M14,13-2-0
Kagayaki,M14,9-6-0
Tokushoryu,M15,6-9-0
Kyokushuho,M15,8-7-0
Daieisho,M16,5-10-0
