Tournament,2016 Haru basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,9-6-0
Hakuho,Y,14-1-0*
Kakuryu,Y,10-5-0
Kotoshogiku,O,8-7-0
Kisenosato,O,13-2-0
Goeido,O,12-3-0
Terunofuji,O,8-7-0
Yoshikaze,S,4-11-0
Toyonoshima,S,3-12-0
Tochiozan,K,4-11-0
Takarafuji,K,6-9-0
Kotoyuki,M1,12-3-0
Takayasu,M1,5-10-0
Okinoumi,M2,8-7-0
Tochinoshin,M2,6-9-0
Aoiyama,M3,7-8-0
Aminishiki,M3,7-8-0
Ikioi,M4,10-5-0
Sokokurai,M4,5-8-2
Kyokushuho,M5,6-9-0
Shohozan,M5,4-11-0
Myogiryu,M6,10-5-0
Shodai,M6,9-6-0
Takekaze,M7,5-10-0
Kaisei,M7,11-4-0
Takanoiwa,M8,8-7-0
Chiyotairyu,M8,3-12-0
Toyohibiki,M9,3-12-0
Sadanoumi,M9,7-8-0
Gagamaru,M10,5-10-0
Tamawashi,M10,9-6-0
Ichinojo,M11,11-4-0
Amuru,M11,7-8-0
Tokushoryu,M12,8-7-0
Hidenoumi,M12,7-8-0
Chiyootori,M13,8-7-0
Mitakeumi,M13,10-5-0
Daishomaru,M14,8-7-0
Daieisho,M14,10-5-0
Satoyama,M15,6-9-0
Kitataiki,M15,3-12-0
Akiseyama,M16,4-11-0
