Tournament,2016 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,10-5-0
Kakuryu,Y,2-2-11
Harumafuji,Y,13-2-0*
Kisenosato,O,12-3-0
Kotoshogiku,O,1-6-8
Goeido,O,7-8-0
Terunofuji,O,8-7-0
Kaisei,S,7-8-0
Tochinoshin,S,6-9-0
Kotoyuki,K,2-13-0
Takayasu,K,11-4-0
Mitakeumi,M1,5-10-0
Tochiozan,M1,8-7-0
Okinoumi,M2,8-7-0
Takarafuji,M2,10-5-0
Osunaarashi,M3,0-1-14
Myogiryu,M3,7-8-0
Shohozan,M4,5-10-0
Ikioi,M4,5-10-0
Shodai,M5,9-6-0
Yoshikaze,M5,10-5-0
Aoiyama,M6,8-7-0
Endo,M6,3-12-0
Ichinojo,M7,9-6-0
Daishomaru,M7,7-8-0
Chiyootori,M8,9-6-0
Takekaze,M8,6-9-0
Chiyonokuni,M9,8-5-2
Sokokurai,M9,6-9-0
Takanoiwa,M10,12-3-0
Sadanoumi,M10,7-8-0
Toyonoshima,M11,0-0-15
Daieisho,M11,5-10-0
Tamawashi,M12,9-6-0
Tokushoryu,M12,6-9-0
Toyohibiki,M13,7-8-0
Aminishiki,M13,0-0-15
Kagayaki,M14,7-8-0
Nishikigi,M14,9-6-0
Kitaharima,M15,6-9-0
Sadanofuji,M15,4-11-0
Arawashi,M16,9-6-0
