Tournament,2016 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Harumafuji,Y,12-3-0
Hakuho,Y,12-3-0
Kakuryu,Y,10-5-0
Kisenosato,O,9-6-0
Terunofuji,O,3-3-9
Kotoshogiku,O,14-1-0*
Goeido,O,4-11-0
Tochiozan,S,7-8-0
Yoshikaze,S,8-7-0
Ikioi,K,5-10-0
Tochinoshin,K,6-9-0
Aminishiki,M1,6-8-1
Shohozan,M1,5-10-0
Takarafuji,M2,8-7-0
Aoiyama,M2,7-8-0
Ichinojo,M3,2-13-0
Kaisei,M3,5-10-0
Kyokushuho,M4,7-8-0
Kotoyuki,M4,9-6-0
Osunaarashi,M5,0-0-15
Sokokurai,M5,8-7-0
Tokushoryu,M6,4-11-0
Okinoumi,M6,10-5-0
Toyonoshima,M7,12-3-0
Tamawashi,M7,5-10-0
Myogiryu,M8,8-7-0
Takayasu,M8,11-4-0
Sadanoumi,M9,7-8-0
Gagamaru,M9,7-8-0
Chiyootori,M10,5-7-3
Mitakeumi,M10,5-8-2
Endo,M11,1-6-8
Amuru,M11,7-8-0
Chiyotairyu,M12,8-7-0
Shodai,M12,10-5-0
Takekaze,M13,10-5-0
Takanoiwa,M13,9-6-0
Jokoryu,M14,2-4-9
Toyohibiki,M14,8-7-0
Homarefuji,M15,4-11-0
Kitataiki,M15,7-8-0
Kagayaki,M16,4-11-0
