Tournament,2016 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Kakuryu,Y,11-4-0
Harumafuji,Y,10-5-0
Kisenosato,O,13-2-0
Goeido,O,9-6-0
Kotoshogiku,O,10-5-0
Terunofuji,O,2-13-0
Kotoyuki,S,7-8-0
Ikioi,S,4-11-0
Kaisei,K,8-7-0
Okinoumi,K,6-9-0
Myogiryu,M1,6-9-0
Takarafuji,M1,7-8-0
Shodai,M2,6-9-0
Ichinojo,M2,5-10-0
Aoiyama,M3,6-9-0
Aminishiki,M3,1-2-12
Yoshikaze,M4,7-8-0
Tochinoshin,M4,10-5-0
Tochiozan,M5,8-7-0
Takayasu,M5,9-6-0
Takanoiwa,M6,5-10-0
Tamawashi,M6,4-11-0
Toyonoshima,M7,5-10-0
Osunaarashi,M7,9-6-0
Kyokushuho,M8,0-0-15
Mitakeumi,M8,11-4-0
Sokokurai,M9,7-8-0
Daieisho,M9,6-9-0
Sadanoumi,M10,7-8-0
Tokushoryu,M10,6-9-0
Chiyootori,M11,8-7-0
Shohozan,M11,11-4-0
Takekaze,M12,8-7-0
Amuru,M12,3-8-4
Daishomaru,M13,9-6-0
Hidenoumi,M13,5-10-0
Nishikigi,M14,7-8-0
Seiro,M14,5-10-0
Gagamaru,M15,6-9-0
Endo,M15,11-4-0
Chiyotairyu,M16,6-9-0
