Tournament,2008 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,13-2-0*
Asashoryu,Y,0-0-15
Kotomitsuki,O,9-6-0
Kaio,O,1-3-11
Chiyotaikai,O,8-7-0
Kotooshu,O,8-7-0
Ama,S,13-2-0
Baruto,S,9-6-0
Goeido,K,5-10-0
Aminishiki,K,8-7-0
Toyonoshima,M1,9-6-0
Futen'o,M1,5-10-0
Toyohibiki,M2,0-0-15
Wakanosato,M2,6-9-0
Kotoshogiku,M3,9-6-0
Hokutoriki,M3,5-10-0
Kisenosato,M4,11-4-0
Tochinoshin,M4,3-12-0
Asasekiryu,M5,5-10-0
Dejima,M5,6-9-0
Kakuryu,M6,5-6-4
Kyokutenho,M6,10-5-0
Miyabiyama,M7,10-5-0
Tochinonada,M7,5-10-0
Takekaze,M8,9-6-0
Kakizoe,M8,5-10-0
Tochiozan,M9,6-9-0
Tokitenku,M9,7-8-0
Bushuyama,M10,8-7-0
Aran,M10,8-7-0
Kokkai,M11,9-6-0
Koryu,M11,6-9-0
Yoshikaze,M12,11-4-0
Kasuganishiki,M12,2-3-10
Masatsukasa,M13,6-9-0
Tamanoshima,M13,6-9-0
Takamisakari,M14,10-5-0
Kitataiki,M14,2-13-0
Kimurayama,M15,6-9-0
Homasho,M15,7-8-0
Tosanoumi,M16,9-6-0
Chiyohakuho,M16,9-6-0
