Tournament,2008 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,3-3-9
Hakuho,Y,15-0-0*
Kotooshu,O,9-6-0
Kotomitsuki,O,11-4-0
Kaio,O,9-6-0
Chiyotaikai,O,9-6-0
Ama,S,10-5-0
Kotoshogiku,S,6-9-0
Kisenosato,K,6-9-0
Toyonoshima,K,10-5-0
Aminishiki,M1,6-9-0
Wakanoho,M1,4-11-0
Asasekiryu,M2,8-7-0
Hokutoriki,M2,4-11-0
Futen'o,M3,3-12-0
Tochinonada,M3,7-8-0
Wakanosato,M4,5-10-0
Goeido,M4,7-8-0
Miyabiyama,M5,9-6-0
Baruto,M5,10-5-0
Homasho,M6,9-6-0
Tokitenku,M6,7-8-0
Roho,M7,9-6-0
Kakuryu,M7,8-7-0
Takamisakari,M8,6-9-0
Dejima,M8,6-9-0
Kyokutenho,M9,10-5-0
Iwakiyama,M9,8-7-0
Tamanoshima,M10,7-8-0
Kokkai,M10,5-10-0
Tochiozan,M11,9-6-0
Tamakasuga,M11,3-12-0
Takekaze,M12,7-8-0
Kimurayama,M12,7-8-0
Toyohibiki,M13,10-5-0
Koryu,M13,3-12-0
Tosanoumi,M14,5-10-0
Tochinoshin,M14,8-7-0
Yoshikaze,M15,8-7-0
Kakizoe,M15,7-8-0
Masatsukasa,M16,10-5-0
Chiyohakuho,M16,8-7-0
