Tournament,2008 Natsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,11-4-0
Hakuho,Y,11-4-0
Kotomitsuki,O,8-7-0
Kaio,O,8-7-0
Chiyotaikai,O,5-10-0
Kotooshu,O,14-1-0*
Ama,S,9-6-0
Kotoshogiku,S,8-7-0
Kisenosato,K,10-5-0
Asasekiryu,K,6-9-0
Kokkai,M1,3-12-0
Baruto,M1,5-10-0
Kyokutenho,M2,4-11-0
Wakanoho,M2,8-7-0
Miyabiyama,M3,6-9-0
Kakuryu,M3,5-10-0
Tokitenku,M4,6-9-0
Aminishiki,M4,10-5-0
Tochiozan,M5,5-10-0
Toyonoshima,M5,11-4-0
Futen'o,M6,9-6-0
Hokutoriki,M6,10-5-0
Takamisakari,M7,7-8-0
Goeido,M7,8-7-0
Tochinonada,M8,9-6-0
Takekaze,M8,6-9-0
Kasugao,M9,3-6-6
Roho,M9,8-6-1
Dejima,M10,8-7-0
Wakanosato,M10,10-5-0
Iwakiyama,M11,8-7-0
Homasho,M11,9-6-0
Tosanoumi,M12,6-9-0
Tamakasuga,M12,8-7-0
Kakizoe,M13,6-9-0
Tamanoshima,M13,9-6-0
Tochinoshin,M14,7-8-0
Yoshikaze,M14,7-8-0
Hakurozan,M15,4-11-0
Toyohibiki,M15,8-7-0
Kotokasuga,M16,4-11-0
Hakuba,M16,4-11-0
