Tournament,2008 Haru basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,12-3-0
Asashoryu,Y,13-2-0*
Kotooshu,O,2-7-6
Kotomitsuki,O,8-7-0
Kaio,O,8-7-0
Chiyotaikai,O,8-7-0
Ama,S,8-7-0
Kotoshogiku,S,8-7-0
Kisenosato,K,8-7-0
Takekaze,K,3-12-0
Asasekiryu,M1,8-7-0
Kakuryu,M1,6-9-0
Aminishiki,M2,6-9-0
Miyabiyama,M2,7-8-0
Tokitenku,M3,7-8-0
Toyonoshima,M3,6-9-0
Wakanoho,M4,8-7-0
Kyokutenho,M4,9-6-0
Wakanosato,M5,5-10-0
Kokkai,M5,12-3-0
Roho,M6,6-9-0
Dejima,M6,6-9-0
Baruto,M7,12-3-0
Hokutoriki,M7,8-7-0
Goeido,M8,8-7-0
Tochinonada,M8,8-7-0
Iwakiyama,M9,7-8-0
Kasugao,M9,8-7-0
Futen'o,M10,10-5-0
Tamakasuga,M10,6-9-0
Toyohibiki,M11,5-10-0
Takamisakari,M11,10-5-0
Tochiozan,M12,11-4-0
Yoshikaze,M12,6-9-0
Homasho,M13,9-6-0
Ichihara,M13,0-2-13
Kaiho,M14,4-11-0
Kakizoe,M14,8-7-0
Wakakirin,M15,6-9-0
Sakaizawa,M15,3-5-7
Otsukasa,M16,5-10-0
Ryuo,M16,5-10-0
