Tournament,2008 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Asashoryu,Y,5-5-5
Kotomitsuki,O,11-4-0
Kotooshu,O,8-7-0
Kaio,O,9-6-0
Chiyotaikai,O,9-6-0
Ama,S,12-3-0
Toyonoshima,S,6-9-0
Baruto,K,8-7-0
Asasekiryu,K,4-11-0
Kotoshogiku,M1,6-9-0
Miyabiyama,M1,4-11-0
Kisenosato,M2,6-9-0
Homasho,M2,0-0-15
Kyokutenho,M3,6-9-0
Roho,M3,0-0-0
Aminishiki,M4,8-7-0
Tochinonada,M4,6-9-0
Kakuryu,M5,7-8-0
Goeido,M5,10-5-0
Toyohibiki,M6,8-7-0
Tochiozan,M6,6-9-0
Iwakiyama,M7,1-2-12
Tokitenku,M7,6-9-0
Masatsukasa,M8,5-10-0
Hokutoriki,M9,8-7-0
Wakanosato,M9,9-6-0
Tochinoshin,M10,8-7-0
Futen'o,M10,11-4-0
Yoshikaze,M11,7-8-0
Takamisakari,M11,6-9-0
Tamanoshima,M12,7-8-0
Dejima,M12,9-6-0
Chiyohakuho,M13,6-9-0
Kitataiki,M13,7-8-0
Takekaze,M14,9-6-0
Kimurayama,M14,7-8-0
Tamawashi,M15,4-11-0
Kasugao,M15,2-13-0
Kokkai,M16,8-7-0
Kakizoe,M16,10-5-0
