Tournament,2008 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Asashoryu,Y,13-2-0
Chiyotaikai,O,0-8-7
Kotomitsuki,O,8-7-0
Kaio,O,8-7-0
Kotooshu,O,9-6-0
Aminishiki,S,5-10-0
Ama,S,9-6-0
Kotoshogiku,K,9-4-2
Dejima,K,3-12-0
Kisenosato,M1,10-5-0
Tokitenku,M1,6-9-0
Toyonoshima,M2,6-9-0
Miyabiyama,M2,7-8-0
Goeido,M3,5-10-0
Tochinonada,M3,5-10-0
Wakanosato,M4,7-8-0
Asasekiryu,M4,10-5-0
Roho,M5,7-8-0
Tamakasuga,M5,4-11-0
Baruto,M6,7-8-0
Hokutoriki,M6,7-8-0
Takekaze,M7,12-3-0
Homasho,M7,4-11-0
Kakuryu,M8,11-4-0
Toyohibiki,M8,6-9-0
Kokkai,M9,9-6-0
Wakakirin,M9,4-11-0
Wakanoho,M10,10-5-0
Kyokutenho,M10,10-5-0
Kakizoe,M11,6-9-0
Kasugao,M11,8-7-0
Futen'o,M12,8-7-0
Tosanoumi,M12,5-10-0
Iwakiyama,M13,9-6-0
Tamanoshima,M13,3-12-0
Takamisakari,M14,8-7-0
Shimootori,M14,1-1-13
Tochiozan,M15,8-7-0
Yoshikaze,M15,8-7-0
Ichihara,M16,8-7-0
Kaiho,M16,8-7-0
