Tournament,2015 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,14-1-0*
Harumafuji,Y,1-1-13
Kakuryu,Y,12-3-0
Kisenosato,O,10-5-0
Goeido,O,9-6-0
Kotoshogiku,O,8-7-0
Terunofuji,O,11-4-0
Tochiozan,S,10-5-0
Ichinojo,S,4-11-0
Takarafuji,K,4-11-0
Myogiryu,K,8-7-0
Tochinoshin,M1,8-7-0
Sadanoumi,M1,6-9-0
Takayasu,M2,6-9-0
Aoiyama,M2,8-7-0
Ikioi,M3,2-13-0
Kaisei,M3,6-9-0
Aminishiki,M4,6-9-0
Takekaze,M4,5-10-0
Okinoumi,M5,11-4-0
Tokushoryu,M5,7-8-0
Kyokushuho,M6,5-10-0
Gagamaru,M6,6-9-0
Tamawashi,M7,8-7-0
Toyonoshima,M7,7-8-0
Yoshikaze,M8,12-3-0
Osunaarashi,M8,11-4-0
Sadanofuji,M9,10-5-0
Homarefuji,M9,6-9-0
Kitataiki,M10,5-10-0
Amuru,M10,8-7-0
Tokitenku,M11,6-9-0
Kyokutenho,M11,3-12-0
Endo,M12,10-5-0
Kotoyuki,M12,8-7-0
Hidenoumi,M13,6-9-0
Chiyotairyu,M13,8-4-3
Toyohibiki,M14,5-10-0
Kagamio,M14,9-6-0
Seiro,M15,7-8-0
Satoyama,M15,5-10-0
Takanoiwa,M16,6-9-0
