Tournament,2015 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,15-0-0*
Kakuryu,Y,10-5-0
Harumafuji,Y,11-4-0
Kisenosato,O,11-4-0
Kotoshogiku,O,9-6-0
Goeido,O,8-7-0
Aoiyama,S,5-10-0
Ichinojo,S,6-9-0
Takayasu,K,6-9-0
Tochiozan,K,7-8-0
Takarafuji,M1,7-8-0
Tochinoshin,M1,6-9-0
Terunofuji,M2,8-7-0
Ikioi,M2,1-14-0
Endo,M3,6-9-0
Aminishiki,M3,6-9-0
Toyonoshima,M4,7-8-0
Jokoryu,M4,5-7-3
Kaisei,M5,7-8-0
Chiyotairyu,M5,1-6-8
Okinoumi,M6,9-6-0
Toyohibiki,M6,3-12-0
Kyokutenho,M7,5-10-0
Chiyootori,M7,5-8-2
Myogiryu,M8,9-6-0
Sadanoumi,M8,9-6-0
Tamawashi,M9,10-5-0
Takekaze,M9,9-6-0
Sokokurai,M10,6-9-0
Homarefuji,M10,8-7-0
Shohozan,M11,8-7-0
Yoshikaze,M11,8-7-0
Kyokushuho,M12,8-7-0
Arawashi,M12,7-8-0
Osunaarashi,M13,8-7-0
Tokitenku,M13,9-6-0
Kotoyuki,M14,8-7-0
Chiyomaru,M14,7-8-0
Sadanofuji,M15,8-7-0
Kagamio,M15,7-8-0
Tokushoryu,M16,11-4-0
Tosayutaka,M16,0-2-13
