Tournament,2015 Aki basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,0-3-12
Kakuryu,Y,12-3-0*
Harumafuji,Y,0-0-15
Terunofuji,O,12-3-0
Kisenosato,O,11-4-0
Goeido,O,7-8-0
Kotoshogiku,O,11-4-0
Tochiozan,S,8-7-0
Myogiryu,S,8-7-0
Tochinoshin,K,10-5-0
Okinoumi,K,6-9-0
Aoiyama,M1,7-8-0
Yoshikaze,M1,11-4-0
Osunaarashi,M2,8-7-0
Sadanofuji,M2,2-13-0
Sadanoumi,M3,6-9-0
Takayasu,M3,1-3-11
Ichinojo,M4,9-6-0
Takarafuji,M4,4-11-0
Tamawashi,M5,4-11-0
Kaisei,M5,6-9-0
Aminishiki,M6,8-7-0
Tokushoryu,M6,6-9-0
Endo,M7,8-7-0
Amuru,M7,8-7-0
Takekaze,M8,5-10-0
Toyonoshima,M8,10-5-0
Gagamaru,M9,6-9-0
Kagamio,M9,4-11-0
Kotoyuki,M10,9-6-0
Kyokushuho,M10,8-7-0
Chiyotairyu,M11,6-9-0
Homarefuji,M11,9-6-0
Ikioi,M12,11-4-0
Chiyootori,M12,6-9-0
Daieisho,M13,7-8-0
Tokitenku,M13,7-8-0
Kitataiki,M14,7-8-0
Sokokurai,M14,8-7-0
Asasekiryu,M15,7-8-0
Hidenoumi,M15,6-9-0
Seiro,M16,7-8-0
