Tournament,2015 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Kakuryu,Y,9-6-0
Hakuho,Y,12-3-0
Harumafuji,Y,13-2-0*
Terunofuji,O,9-6-0
Kisenosato,O,10-5-0
Kotoshogiku,O,8-6-1
Goeido,O,8-7-0
Tochiozan,S,8-7-0
Myogiryu,S,2-13-0
Tochinoshin,K,7-8-0
Yoshikaze,K,8-7-0
Ichinojo,M1,6-9-0
Osunaarashi,M1,5-9-1
Aoiyama,M2,7-8-0
Okinoumi,M2,5-10-0
Toyonoshima,M3,5-9-1
Aminishiki,M3,8-7-0
Ikioi,M4,12-3-0
Endo,M4,4-11-0
Amuru,M5,4-11-0
Sadanoumi,M5,5-10-0
Kotoyuki,M6,8-7-0
Homarefuji,M6,3-12-0
Kaisei,M7,9-6-0
Kyokushuho,M7,9-6-0
Tokushoryu,M8,8-7-0
Takarafuji,M8,10-5-0
Tamawashi,M9,8-7-0
Sadanofuji,M9,4-11-0
Sokokurai,M10,9-6-0
Shohozan,M10,12-3-0
Gagamaru,M11,6-7-0
Mitakeumi,M11,8-7-0
Takekaze,M12,7-8-0
Takayasu,M12,9-6-0
Chiyotairyu,M13,8-7-0
Toyohibiki,M13,7-8-0
Daieisho,M14,6-9-0
Tokitenku,M14,0-0-15
Kitataiki,M15,7-8-0
Chiyootori,M15,10-5-0
Asasekiryu,M16,3-12-0
