Tournament,2015 Natsu basho results - Makuuchi Division
Name,Rank,Record
Hakuho,Y,11-4-0
Harumafuji,Y,11-4-0
Kakuryu,Y,0-0-15
Kisenosato,O,11-4-0
Kotoshogiku,O,6-9-0
Goeido,O,8-6-1
Terunofuji,S,12-3-0*
Myogiryu,S,7-8-0
Tochiozan,K,8-7-0
Ichinojo,K,8-7-0
Takarafuji,M1,9-6-0
Tochinoshin,M1,9-6-0
Toyonoshima,M2,4-11-0
Aminishiki,M2,6-9-0
Sadanoumi,M3,8-7-0
Osunaarashi,M3,4-4-7
Chiyootori,M4,0-2-13
Tokushoryu,M4,6-9-0
Kitataiki,M5,4-11-0
Tamawashi,M5,6-9-0
Gagamaru,M6,7-8-0
Aoiyama,M6,9-6-0
Sokokurai,M7,1-4-10
Sadanofuji,M7,6-9-0
Takekaze,M8,8-7-0
Takayasu,M8,10-5-0
Homarefuji,M9,7-8-0
Endo,M9,6-9-0
Ikioi,M10,10-5-0
Okinoumi,M10,9-6-0
Kaisei,M11,10-5-0
Kyokushuho,M11,9-6-0
Arawashi,M12,2-13-0
Toyohibiki,M12,6-9-0
Fujiazuma,M13,3-12-0
Chiyomaru,M13,3-12-0
Yoshikaze,M14,10-5-0
Kyokutenho,M14,8-7-0
Jokoryu,M15,5-10-0
Kotoyuki,M15,8-7-0
Takanoiwa,M16,7-8-0
Amuru,M16,9-6-0
