Tournament,2026 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Hoshoryu,Y,10-5-0
Onosato,Y,10-5-0
Kotozakura,O,8-7-0
Aonishiki,O,12-3-0*
Kirishima,S,11-4-0
Takayasu,S,8-7-0
Oho,K,4-11-0
Wakamotoharu,K,8-7-0
Ichiyamamoto,M1,4-11-0
Yoshinofuji,M1,8-7-0
Ura,M2,4-11-0
Wakatakakage,M2,9-6-0
Takanosho,M3,5-10-0
Hakunofuji,M3,5-8-2
Daieisho,M4,7-8-0
Atamifuji,M4,12-3-0
Tamawashi,M5,5-10-0
Churanoumi,M5,9-6-0
Hiradoumi,M6,9-6-0
Onokatsu,M6,7-8-0
Oshoma,M7,7-8-0
Fujinokawa,M7,10-5-0
Shodai,M8,7-8-0
Kinbozan,M8,4-11-0
Gonoyama,M9,7-8-0
Roga,M9,7-8-0
Tokihayate,M10,8-7-0
Kotoshoho,M10,9-6-0
Chiyoshoma,M11,6-9-0
Nishikifuji,M11,6-6-3
Midorifuji,M12,6-9-0
Abi,M12,10-5-0
Tobizaru,M13,7-8-0
Tomokaze,M13,4-11-0
Shishi,M14,9-6-0
Mitakeumi,M14,7-8-0
Ryuden,M15,6-9-0
Asakoryu,M15,9-6-0
Asanoyama,M16,9-6-0
Oshoumi,M16,10-5-0
Asahakuryu,M17,8-7-0
Hatsuyama,M17,2-13-0
