Tournament,2026 Haru basho results - Makuuchi Division
Name,Rank,Record
Hoshoryu,Y,11-4-0
Onosato,Y,0-4-11
Aonishiki,O,7-8-0
Kotozakura,O,10-5-0
Kirishima,S,12-3-0*
Takayasu,S,7-8-0
Wakamotoharu,K,3-12-0
Atamifuji,K,9-6-0
Wakatakakage,M1,8-6-1
Yoshinofuji,M1,7-8-0
Fujinokawa,M2,8-7-0
Churanoumi,M2,4-11-0
Hiradoumi,M3,7-8-0
Oho,M3,7-8-0
Daieisho,M4,7-8-0
Takanosho,M4,9-6-0
Abi,M5,4-6-5
Kotoshoho,M5,11-4-0
Ichiyamamoto,M6,9-6-0
Onokatsu,M6,1-6-8
Oshoma,M7,6-9-0
Hakunofuji,M7,5-6-4
Ura,M8,5-10-0
Shodai,M8,8-7-0
Tokihayate,M9,5-10-0
Tamawashi,M9,5-10-0
Gonoyama,M10,10-5-0
Roga,M10,5-10-0
Shishi,M11,6-9-0
Oshoumi,M11,5-10-0
Asakoryu,M12,9-6-0
Asanoyama,M12,8-7-0
Tobizaru,M13,6-9-0
Fujiseiun [ja],M13,10-5-0
Chiyoshoma,M14,10-5-0
Nishikifuji,M14,9-6-0
Midorifuji,M15,0-0-15
Mitakeumi,M15,8-7-0
Asahakuryu,M16,10-5-0
Kinbozan,M16,9-6-0
Fujiryoga [ja],M17,7-8-0
Kotoeiho,M17,9-6-0
