Name,2024 Hatsu Rank,2024 Hatsu Record,2024 Haru Rank,2024 Haru Record,2024 Natsu Rank,2024 Natsu Record,2024 Nagoya Rank,2024 Nagoya Record,2024 Aki Rank,2024 Aki Record,2024 Kyushu Rank,2024 Kyushu Record,2025 Hatsu Rank,2025 Hatsu Record,2025 Haru Rank,2025 Haru Record,2025 Natsu Rank,2025 Natsu Record,2025 Nagoya Rank,2025 Nagoya Record,2025 Aki Rank,2025 Aki Record,2025 Kyushu Rank,2025 Kyushu Record
Shodai,M4,4-11-0,M10,8-7-0,M9,7-8-0,M10,10-5-0,M4,10-5-0,K,4-11-0,M4,6-9-0,M7,6-9-0,M10,6-9-0,M13,9-6-0,M11,10-5-0,M5,4-11-0
Shonannoumi,M6,4-11-0,M12,9-6-0,M10,9-6-0,M5,7-8-0,M5,3-12-0,M13,8-7-0,M13,8-7-0,M10,4-11-0,M15,5-10-0,,,M15,7-8-0,M15,3-12-0
Takakeisho,O,2-2-11,O,8-6-1,O,0-2-13,O,5-10-0,S,0-3-10,,,,,,,,,,,,,,
Takanosho,M12,10-5-0,M3,5-10-0,M8,8-7-0,M6,12-3-0,M1,4-11-0,M6,11-4-0,M1,6-9-0,M3,3-12-0,M12,8-7-0,M11,9-6-0,M7,12-3-0,K,5-10-0
Takarafuji,M16,6-9-0,,,M16,9-6-0,M13,5-10-0,M15,10-5-0,M10,8-7-0,M8,5-10-0,M12,3-12-0,,,,,,,,
Takayasu,K,2-4-9,M8,11-4-0,M3,7-3-5,M3,0-2-13,M15,10-5-0,M9,8-7-0,M6,8-7-0,M4,12-3-0,K,6-9-0,K,10-5-0,K,7-8-0,K,8-7-0
Takerufuji,,,M17,13-2-0*,M6,0-0-15,,,,,M16,10-5-0,M11,10-5-0,M6,9-6-0,M4,6-9-0,M6,5-8-2,M12,0-0-15,,
Tamashoho,,,,,,,,,,,,,M16,6-9-0,,,M17,4-11-0,,,,,,
Tamawashi,M10,8-7-0,M7,7-8-0,M9,7-8-0,M9,7-8-0,M10,7-8-0,M11,8-7-0,M10,9-6-0,M7,10-5-0,M3,6-9-0,M4,11-4-0,M1,6-9-0,M4,7-8-0
Terunofuji,Y,13-2-0*,Y,2-5-8,Y,0-2-13,Y,12-3-0*,Y,0-0-15,Y,0-0-15,Y,2-3-0,,,,,,,,,,
Tobizaru,M4,7-8-0,M4,8-7-0,M3,6-9-0,M4,9-6-0,M1,5-10-0,M5,9-6-0,M2,7-8-0,M3,6-9-0,M6,7-8-0,M7,3-10-2,M15,9-6-0,M9,6-9-0
Tochitaikai,,,,,,,,,,,,,,,,,M18,4-11-0,,,,,,
Tokihayate,,,,,M15,6-9-0,,,,,M15,6-9-0,M17,7-8-0,M18,10-5-0,M13,8-7-0,M11,6-9-0,M13,7-8-0,M14,9-6-0
Tomokaze,M15,5-10-0,,,M16,2-13-0,,,,,,,,,,,,,,,M16,9-6-0,M12,7-8-0
Tsurugisho,M11,9-6-0,M6,2-3-10,M17,3-12-0,,,,,,,,,,,,,,,,,,
Ura,K,6-9-0,M1,6-9-0,M4,7-8-0,M4,6-9-0,M5,9-6-0,M2,5-10-0,M4,7-8-0,M5,7-8-0,M5,5-10-0,M9,8-6-1,M8,10-5-0,M3,8-7-0
Wakamotoharu,M1,10-5-0,S,9-6-0,S,4-8-3,M2,6-9-0,M3,11-4-0,K,10-5-0,S,6-9-0,M1,9-6-0,M1,7-8-0,M1,6-9-0,M4,9-6-0,M2,8-7-0
Wakatakakage,,,,,,,M14,11-4-0,M7,12-3-0,M2,10-5-0,K,7-8-0,M1,9-6-0,K,12-3-0,S,10-5-0,S,6-9-0,M1,7-8-0
Yoshinofuji,,,,,,,,,,,,,,,,,,,,,,,M5,9-6-0
