Tournament,2004 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Kaio,O,12-3-0
Chiyotaikai,O,7-8-0
Musoyama,O,0-4-0
Tochiazuma,O,3-3-9
Wakanosato,S,11-4-0
Miyabiyama,S,9-6-0
Kotomitsuki,K,10-5-0
Tochinonada,K,6-9-0
Dejima,M1,0-3-12
Hakuho,M1,12-3-0
Kakizoe,M2,6-9-0
Kokkai,M2,7-8-0
Iwakiyama,M3,9-6-0
Kyokutenho,M3,5-10-0
Tamanoshima,M4,8-7-0
Kyokushuzan,M4,2-13-0
Shimotori,M5,4-11-0
Kotonowaka,M5,9-6-0
Tosanoumi,M6,9-6-0
Takekaze,M6,6-9-0
Jumonji,M7,5-10-0
Takamisakari,M7,8-7-0
Toyozakura,M8,3-12-0
Buyuzan,M8,5-10-0
Kotoryu,M9,8-7-0
Roho,M9,10-5-0
Asasekiryu,M10,7-8-0
Kotooshu,M10,11-4-0
Hayateumi,M11,9-6-0
Hokutoriki,M11,8-7-0
Takanowaka,M12,8-7-0
Takanotsuru,M12,4-11-0
Kaiho,M13,10-5-0
Tamakasuga,M13,7-8-0
Tokitsuumi,M14,8-7-0
Ama,M14,8-7-0
Kasugao,M15,8-7-0
Tokitenku,M15,7-8-0
Futen'o,M16,7-8-0
Kisenosato,M16,9-6-0
Toki,M17,2-13-0
