Tournament,2004 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,15-0-0*
Tochiazuma,O,9-6-0
Chiyotaikai,O,10-5-0
Kaio,O,10-5-0
Musoyama,O,5-4-6
Tosanoumi,S,4-11-0
Tamanoshima,S,5-10-0
Tochinonada,K,6-9-0
Wakanosato,K,9-6-0
Toki,M1,1-11-3
Hokutoriki,M1,5-10-0
Iwakiyama,M2,6-9-0
Kyokushuzan,M2,8-7-0
Takamisakari,M3,4-11-0
Kyokutenho,M3,8-7-0
Tokitsuumi,M4,7-8-0
Kotomitsuki,M4,13-2-0
Kakizoe,M5,11-4-0
Kasuganishiki,M5,4-10-1
Dejima,M6,10-5-0
Takekaze,M6,4-11-0
Shimotori,M7,11-4-0
Miyabiyama,M7,11-4-0
Aminishiki,M8,9-6-0
Jumonji,M8,8-7-0
Kotoryu,M9,7-8-0
Kinkaiyama,M9,8-7-0
Takanonami,M10,8-7-0
Kokkai,M10,8-7-0
Yotsukasa,M11,5-10-0
Tochisakae,M11,9-6-0
Asasekiryu,M12,7-8-0
Wakatoba,M12,4-11-0
Kotonowaka,M13,0-0-15
Takanowaka,M13,4-11-0
Ushiomaru,M14,7-8-0
Buyuzan,M14,10-5-0
Kitazakura,M15,3-12-0
Kaiho,M15,7-8-0
Asanowaka,M16,10-5-0
Tamakasuga,M16,7-8-0
Hayateumi,M17,7-8-0
