Tournament,2004 Haru basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,15-0-0*
Chiyotaikai,O,13-2-0
Kaio,O,13-2-0
Tochiazuma,O,0-3-12
Musoyama,O,9-6-0
Wakanosato,S,8-7-0
Kotomitsuki,S,7-8-0
Kakizoe,K,6-9-0
Shimotori,K,6-9-0
Miyabiyama,M1,8-7-0
Kyokushuzan,M1,4-11-0
Dejima,M2,7-8-0
Kyokutenho,M2,10-5-0
Tochinonada,M3,8-7-0
Tamanoshima,M3,6-9-0
Aminishiki,M4,3-12-0
Tosanoumi,M4,5-10-0
Tokitsuumi,M5,8-7-0
Iwakiyama,M5,7-8-0
Hokutoriki,M6,9-6-0
Jumonji,M6,4-11-0
Tochisakae,M7,7-8-0
Kinkaiyama,M7,4-11-0
Takamisakari,M8,8-7-0
Takanonami,M8,5-10-0
Buyuzan,M9,8-7-0
Kokkai,M9,8-7-0
Kasuganishiki,M10,5-10-0
Kotoryu,M10,8-7-0
Asanowaka,M11,5-10-0
Takekaze,M11,9-6-0
Toki,M12,8-7-0
Asasekiryu,M12,13-2-0
Kotonowaka,M13,11-4-0
Chiyotenzan,M13,3-12-0
Harunoyama,M14,9-6-0
Ushiomaru,M14,7-8-0
Futen'o,M15,7-8-0
Toyozakura,M15,8-7-0
Wakanoyama,M16,2-13-0
Kaiho,M16,9-6-0
Yotsukasa,M17,6-9-0
