Tournament,2004 Aki basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,9-6-0
Kaio,O,13-2-0*
Chiyotaikai,O,8-7-0
Musoyama,O,2-7-6
Tochiazuma,O,2-2-11
Wakanosato,S,10-5-0
Miyabiyama,S,9-6-0
Kyokutenho,K,5-10-0
Kotomitsuki,K,8-7-0
Shimotori,M1,5-10-0
Kokkai,M1,7-8-0
Iwakiyama,M2,7-8-0
Tamanoshima,M2,7-8-0
Hakuho,M3,8-7-0
Tochinonada,M3,11-4-0
Asasekiryu,M4,4-11-0
Tosanoumi,M4,7-8-0
Toyozakura,M5,5-10-0
Dejima,M5,10-5-0
Hokutoriki,M6,5-10-0
Kakizoe,M6,10-5-0
Takamisakari,M7,7-8-0
Takekaze,M7,8-7-0
Kotoryu,M8,7-8-0
Tokitsuumi,M8,5-10-0
Kotonowaka,M9,10-5-0
Kaiho,M9,6-9-0
Futen'o,M10,4-11-0
Kyokushuzan,M10,11-4-0
Jumonji,M11,9-6-0
Buyuzan,M11,8-7-0
Hayateumi,M12,8-7-0
Takanowaka,M12,8-7-0
Tochisakae,M13,5-10-0
Otsukasa,M13,3-12-0
Kotooshu,M14,9-6-0
Tamakasuga,M14,8-7-0
Roho,M15,10-5-0
Toyonoshima,M15,6-9-0
Aminishiki,M16,6-9-0
Takanotsuru,M16,9-6-0
Kitazakura,M17,6-9-0
