Tournament,2004 Natsu basho results - Makuuchi Division
Name,Rank,Record
Asashoryu,Y,13-2-0*
Chiyotaikai,O,9-6-0
Kaio,O,10-5-0
Musoyama,O,6-9-0
Tochiazuma,O,0-0-15
Wakanosato,S,9-6-0
Kyokutenho,S,6-9-0
Miyabiyama,K,3-12-0
Kotomitsuki,K,9-6-0
Tochinonada,M1,5-10-0
Hokutoriki,M1,13-2-0
Asasekiryu,M2,3-12-0
Kakizoe,M2,6-9-0
Shimotori,M3,7-8-0
Dejima,M3,7-8-0
Tokitsuumi,M4,7-8-0
Takamisakari,M4,6-9-0
Kotonowaka,M5,8-7-0
Tamanoshima,M5,12-3-0
Buyuzan,M6,4-11-0
Iwakiyama,M6,10-5-0
Kokkai,M7,10-5-0
Kyokushuzan,M7,9-6-0
Takekaze,M8,9-6-0
Tochisakae,M8,7-8-0
Kotoryu,M9,10-5-0
Tosanoumi,M9,7-8-0
Harunoyama,M10,4-11-0
Toki,M10,4-11-0
Aminishiki,M11,8-7-0
Hayateumi,M11,8-7-0
Kaiho,M12,9-6-0
Jumonji,M12,8-7-0
Takanonami,M13,0-3-0
Kinkaiyama,M13,8-7-0
Kasuganishiki,M14,0-0-15
Asanowaka,M14,4-11-0
Ushiomaru,M15,0-0-15
Futen'o,M15,7-8-0
Hakuho,M16,12-3-0
Takanowaka,M16,8-7-0
Kobo,M17,5-10-0
