League,Source file,0,1,2,3,4,5,6,Conference,Division,Team,City,Arena,Founded,Joined
Ontario Hockey League,Ontario_Hockey_League.html,Central,Barrie Colts,"Barrie, Ontario",Sadlon Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Brampton Steelheads,"Brampton, Ontario",CAA Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Niagara IceDogs,"St. Catharines, Ontario",Meridian Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,North Bay Battalion,"North Bay, Ontario",Boart Longyear Memorial Gardens,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Central,Sudbury Wolves,"Greater Sudbury, Ontario",Sudbury Community Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Division,Team,City,Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,Erie Otters,"Erie, Pennsylvania",Erie Insurance Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,Guelph Storm,"Guelph, Ontario",Sleeman Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,Kitchener Rangers,"Kitchener, Ontario",Kitchener Memorial Auditorium Complex,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,London Knights,"London, Ontario",Canada Life Place,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,Midwest,Owen Sound Attack,"Owen Sound, Ontario",Harry Lumley Bayshore Community Centre,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,West,Flint Firebirds,"Flint, Michigan",Dort Federal Credit Union Event Center,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,West,Saginaw Spirit,"Saginaw, Michigan",Dow Event Center,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,West,Sarnia Sting,"Sarnia, Ontario",Progressive Auto Sales Arena,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,West,Sault Ste. Marie Greyhounds,"Sault Ste. Marie, Ontario",GFL Memorial Gardens,,,,,,,,,,
Ontario Hockey League,Ontario_Hockey_League.html,West,Windsor Spitfires,"Windsor, Ontario",WFCU Centre,,,,,,,,,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,East,Baie-Comeau Drakkar,"Baie-Comeau, Quebec",Centre Henry-Leonard,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,East,Chicoutimi Saguenéens,"Saguenay, Quebec",Centre Georges-Vézina,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,East,Quebec Remparts,"Quebec City, Quebec",Centre Vidéotron,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,East,Rimouski Océanic,"Rimouski, Quebec",Colisée Financière Sun Life,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,Maritimes,Cape Breton Eagles,"Cape Breton Regional Municipality, Nova Scotia",Centre 200,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,Maritimes,Charlottetown Islanders,"Charlottetown, Prince Edward Island",Eastlink Centre,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,Maritimes,Halifax Mooseheads,"Halifax, Nova Scotia",Scotiabank Centre,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,Maritimes,Moncton Wildcats,"Moncton, New Brunswick",Avenir Centre,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,Maritimes,Newfoundland Regiment,"St. John's, Newfoundland and Labrador",Mary Brown's Centre,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Eastern,Maritimes,Saint John Sea Dogs,"Saint John, New Brunswick",TD Station,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,West,Blainville-Boisbriand Armada,"Boisbriand, Quebec",Centre d'Excellence Sports Rousseau,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,West,Gatineau Olympiques,"Gatineau, Quebec",Centre Slush Puppie,,
Quebec Maritimes Junior Hockey League,Quebec_Maritimes_Junior_Hockey_League.html,,,,,,,,Western,West,Rouyn-Noranda Huskies,"Rouyn-Noranda, Quebec",Aréna Glencore,,
