League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Wellington Dukes,"Wellington, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Team,Centre,Joined,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Buffalo Jr. Sabres,"Buffalo, New York",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Burlington Cougars,"Burlington, Ontario",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Caledon Admirals,"Caledon, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Collingwood Blues,"Collingwood, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Georgetown Raiders,"Georgetown, Ontario",1975,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,King Rebellion,"King Township, Ontario",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Leamington Flyers,"Leamington, Ontario",2023,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Milton Menace,"Milton, Ontario",1987,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Mississauga Chargers,"Mississauga, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Niagara Falls Canucks,"Niagara Falls, Ontario",2023,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Oakville Blades,"Oakville, Ontario",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Toronto Patriots,"Toronto, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,East Conference,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Team,Centre,Joined,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Aurora Tigers,"Aurora, Ontario",1997,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Cobourg Cougars,"Cobourg, Ontario",1992,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Haliburton County Huskies,"Haliburton, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Lindsay Muskies,"Lindsay, Ontario",1989,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Markham Royals,"Markham, Ontario",1993,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Newmarket Hurricanes,"Newmarket, Ontario",2025,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,North York Rangers,"Toronto, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Pickering Panthers,"Pickering, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,St. Michael's Buzzers,"Toronto, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Stouffville Spirit,"Stouffville, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Trenton Golden Hawks,"Trenton, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Wellington Dukes,"Wellington, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,West Conference,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Team,Centre,Joined,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Buffalo Jr. Sabres,"Buffalo, New York",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Burlington Cougars,"Burlington, Ontario",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Caledon Admirals,"Caledon, Ontario",1998,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Collingwood Blues,"Collingwood, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Georgetown Raiders,"Georgetown, Ontario",1975,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,King Rebellion,"King Township, Ontario",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Leamington Flyers,"Leamington, Ontario",2023,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Milton Menace,"Milton, Ontario",1987,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Mississauga Chargers,"Mississauga, Ontario",1995,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Niagara Falls Canucks,"Niagara Falls, Ontario",2023,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Oakville Blades,"Oakville, Ontario",1971,,,,,,,,,,,,
Ontario Junior Hockey League,Ontario_Junior_Hockey_League.html,,,,,Toronto Patriots,"Toronto, Ontario",1998,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Abbotsford Pilots,Abbotsford,MSA Arena,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Aldergrove Ironmen,Aldergrove,Aldergrove Community Centre,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Cloverdale Junior Hockey Club,Cloverdale,Cloverdale Arena,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Mission City Outlaws,Mission,Mission Leisure Centre,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,North Vancouver Wolf Pack,North Vancouver,Harry Jerome Community Recreation Centre,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Port Moody Panthers,Port Moody,Port Moody Recreation Complex,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Surrey Knights,Surrey,North Surrey Sport & Ice Complex,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,White Rock Whalers,White Rock,Centennial Arena,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Burnaby Steelers,Burnaby,Burnaby Winter Club,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Chilliwack Jets,Chilliwack,Sardis Sports Complex,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Coastal Tsunami,Gibsons,Gibsons & Area Community Centre,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Delta Ice Hawks,North Delta,Sungod Arena,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Langley Trappers,Langley,George Preston Recreation Centre,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Port Coquitlam Trailblazers,Port Coquitlam,Port Coquitlam Community Centre,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Richmond Sockeyes,Richmond,Minoru Arenas,,,,,,,,,,,,,,,
Pacific Junior Hockey League,Pacific_Junior_Hockey_League.html,,Ridge Meadows Flames,Maple Ridge,Planet Ice Maple Ridge,,,,,,,,,,,,,,,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Beauce-Appalaches Condors,,,,,,,,,,,,,,,,Saint-Georges,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Côte-du-Sud Everest,,,,,,,,,,,,,,,,Montmagny,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Gatineau Flames,,,,,,,,,,,,,,,,Gatineau,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Granby Indigo,,,,,,,,,,,,,,,,Granby,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Joliette Prédateurs,,,,,,,,,,,,,,,,Joliette,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Laval Prime,,,,,,,,,,,,,,,,Laval,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Longueuil Collège Français,,,,,,,,,,,,,,,,Longueuil,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Montreal Rangers,,,,,,,,,,,,,,,,Montréal,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Montreal Phoenix,,,,,,,,,,,,,,,,Montréal,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Princeville Titan,,,,,,,,,,,,,,,,Princeville,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,St-Jérôme Panthères,,,,,,,,,,,,,,,,Saint-Jérôme,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Terrebonne Cobras,,,,,,,,,,,,,,,,Terrebonne,
Quebec Junior Hockey League,Quebec_Junior_Hockey_League.html,,Valleyfield Braves,,,,,,,,,,,,,,,,Salaberry-de-Valleyfield,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,Bunge Division,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Team,City,Arena,Joined,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Estevan Bruins,"Estevan, Saskatchewan",Affinity Place,1971,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Melville Millionaires,"Melville, Saskatchewan",CN Community Centre,1970,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Weyburn Red Wings,"Weyburn, Saskatchewan",Crescent Point Place,1968,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Yorkton Terriers,"Yorkton, Saskatchewan",Farrell Agencies Arena,1972,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,Nutrien Division,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Team,City,Arena,Joined,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Battlefords North Stars,"North Battleford, Saskatchewan",North Battleford Civic Centre,1973,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Humboldt Broncos,"Humboldt, Saskatchewan",Elgar Peterson Arena,1970,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Kindersley Klippers,"Kindersley, Saskatchewan",West Central Events Centre,1991,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Warman Wolverines,"Warman, Saskatchewan",Warman Home Centre Communiplex,2025,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,UPL Division,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Team,City,Arena,Joined,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Flin Flon Bombers,"Flin Flon, Manitoba",Whitney Forum,1984,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,La Ronge Ice Wolves,"La Ronge, Saskatchewan",Jonas Roberts Memorial Community Centre,1998,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Melfort Mustangs,"Melfort, Saskatchewan",Northern Lights Palace,1988,,,,,,,,,,,
Saskatchewan Junior Hockey League,Saskatchewan_Junior_Hockey_League.html,,,,,Nipawin Hawks,"Nipawin, Saskatchewan",Centennial Arena,1985,,,,,,,,,,,
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Dryden Ice Dogs,,Dryden Memorial Arena,,,,,,,,,,,,,,"Dryden, Ontario",2001.0
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Fort Frances Lakers,,Memorial Sports Center,,,,,,,,,,,,,,"Fort Frances, Ontario",2009.0
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Ironwood Lumberjacks,,Pat O'Donnell Civic Center,,,,,,,,,,,,,,"Ironwood, Michigan",2019.0
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Kam River Fighting Walleye,,NorWest Arena,,,,,,,,,,,,,,"Oliver Paipoonge, Ontario",2020.0
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Red Lake Miners,,Cochenour Arena,,,,,,,,,,,,,,"Red Lake, Ontario",2013.0
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Sioux Lookout Bombers,,Sioux Lookout Memorial Arena,,,,,,,,,,,,,,"Sioux Lookout, Ontario",2022.0
Superior International Junior Hockey League,Superior_International_Junior_Hockey_League.html,,Thunder Bay North Stars,,Fort William Gardens,,,,,,,,,,,,,,"Thunder Bay, Ontario",2001.0
