League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
British Columbia Hockey Conference,British_Columbia_Hockey_Conference.html,,,,,Ridge Meadows Flames,Maple Ridge,Planet Ice Maple Ridge/Cam Neely Arena,1972,2026,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Robinson Division,Robinson Division,Robinson Division,Robinson Division,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Team,Arena (Capacity),Joined,EOJHL Affiliate,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Brockville Braves,"Brockville Memorial Civic Centre (1,350)",1963,Brockville Tikis,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Carleton Place Canadians,Carleton Place Arena (668),2009,Carleton Place Jr. Canadians,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Kemptville 73's,"North Grenville Municipal Centre (1,620)",2007,,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Pembroke Lumber Kings,"Pembroke Memorial Centre (2,250)",1961,Whitewater Kings,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Renfrew Wolves,MyFM Centre (634),2020,Ottawa Canadians,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Smiths Falls Bears,"Smiths Falls Memorial Community Centre (1,514)",1961,Smiths Falls Jr. Bears,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,Yzerman Division,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Team,Arena (Capacity),Joined,EOJHL Affiliate,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Cornwall Colts,"Cornwall Civic Complex (4,639)",1992,,,,,,,,,,,,
Central Canada Hockey League,Central_Canada_Hockey_League.html,,,,,Hawkesbury Hawks,Robert Hartley Sports Complex (700),1976,,,,,,,,,,,,
