League,Source file,Team,Centre,Home arena,Year Joined,Founded,1st Season,0,1,2,First season,3,4,5,Senior Teams,Formed
Nova Scotia Junior C Hockey League,Nova_Scotia_Junior_C_Hockey_League.html,,,,,,,Spryfield Attack,Spryfield,2011,,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Morell Lions,Morell,,,,,,,,2024–25,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,North River Flames,Cornwall,,,,,,,,2005–06,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Pownal Ice Dogs,Pownal,,,,,,,,2019–20,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Sherwood Metros,Sherwood,,,,,,,,2015–16,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,South Side Lynx,Crapaud,,,,,,,,2001–02,,,,,
Prince Edward Island Junior C Hockey League,Prince_Edward_Island_Junior_C_Hockey_League.html,Tignish Aces,Tignish,,,,,,,,2002–03,,,,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,North Conference Carruthers Division Team Centre Founded Arena Alliston Hornets Alliston 1971 New Tecumseth Recreation Complex Huntsville Otters Huntsville 1990 Canada Summit Centre Innisfil Spartans Innisfil 2022 Innisfil Recreation Complex Midland Flyers Midland 1978 North Simcoe Sports & Recreation Centre Muskoka Bears Bracebridge 2024 Muskoka Lumber Community Centre Orillia Terriers Orillia 2013 West Orillia Sports Complex Penetang Kings Penetanguishene 1977 Penetanguishene Memorial Community Centre Stayner Siskins Stayner 1972 Stayner Memorial Arena Pollock Division Team Centre Founded Arena Fergus Whalers Fergus 2023 Centre Wellington Community Sportsplex Hanover Barons Hanover 1964 P&H Centre Kincardine Bulldogs Kincardine 1994 Davidson Centre Arena Mitchell Hawks Mitchell 1966 Mitchell & District Arena Mount Forest Patriots Mount Forest 1987 Mount Forest & District Community Centre Walkerton Capitals Walkerton 1976 Walkerton Community Centre Wingham Ironmen Wingham 1975 North Huron Wescast Community Complex South Conference Doherty Division Team Centre Founded Arena Dorchester Dolphins Dorchester 2012 The Flight Exec Centre Hespeler Shamrocks Hespeler 1959 Hespeler Memorial Arena New Hamburg Firebirds New Hamburg 1953 Wilmot Township Arena Norwich Merchants Norwich 1968 Norwich Community Centre Paris Titans Paris 1985 Brant Sports Complex Tavistock Braves Tavistock 1970 Tavistock & District Recreation Centre Wellesley Applejacks Wellesley 1987 Wellesley Arena Woodstock Navy-Vets Woodstock 1966 Woodstock District Community Complex Bloomfield Division Team Centre Founded Arena Dundas Blues Dundas 1963 J.L.Grightmire Arena Dunnville Jr. Mudcats Dunnville 1974 Dunnville Memorial Arena Glanbrook Rangers Glanbrook 1975 Glanbrook Arena Grimsby Peach Kings Grimsby 1922 Peach King Centre Hagersville Hawks Hagersville 1992 Hagersville Memorial Arena Niagara Riverhawks Chippawa 1987 Gale Centre Port Dover Sailors Port Dover 1988 Port Dover & Area Arena Streetsville Derbys Streetsville 2024 Vic Johnston Community Centre East Conference Orr Division Team Centre Founded Arena Caledon Golden Hawks Caledon 2010 Caledon East Arena Clarington Eagles Bowmanville 2011 Garnet B. Rickard Recreation Complex Georgina Ice Keswick 1994 Georgina Ice Palace Little Britain Merchants Little Britain 1978 Little Britain Community Centre Port Perry Lumberjacks Port Perry 1972 Scugog Community Recreation Centre Schomberg Cougars Schomberg 1969 Trisan Centre Uxbridge Bruins Uxbridge 1975 Uxbridge Arena and Recreation Centre Tod Division Team Centre Founded Arena Amherstview Jets Amherstview 1989 W J Henderson Recreation Centre Frankford Huskies Frankford 2021 Frankford Arena Lakefield Chiefs Lakefield 1980 Lakefield-Smith Community Centre Napanee Raiders Napanee 1989 Strathcona Paper Centre Picton Pirates Picton 1989 Prince Edward Community Centre Port Hope Panthers Port Hope 2004 Jack Burger Sports Complex Trent Hills Thunder Campbellford 1992 Campbellford-Seymour Arena West Conference Stobbs Division Team Centre Founded Arena Amherstburg Admirals Amherstburg 1987 Libro Centre Blenheim Blades Blenheim 1968 Blenheim Community & Recreation Centre Dresden Jr. Kings Dresden 1959 Lambton-Kent Memorial Arena Essex 73's Essex 1973 Essex Centre Sports Complex Lakeshore Canadiens Belle River 1978 Atlas Tube Centre Mooretown Flags Mooretown 1971 Mooretown Sports Complex Walpole Island Wild Walpole Island 1972 Walpole Island Sports Complex Wheatley Sharks Wheatley 1995 Wheatley Area Arena Yeck Division Team Centre Founded Arena Aylmer Spitfires Aylmer 1974 East Elgin Community Complex Exeter Hawks Exeter 1961 South Huron Recreation Centre Lucan Irish Lucan 1968 Lucan Community Memorial Centre Mount Brydges Bulldogs Mount Brydges 1975 Tri-Township Arena North Middlesex Stars Parkhill 1993 North Middlesex Arena Petrolia Flyers Petrolia 1988 Greenwood Recreation Centre Port Stanley Sailors Port Stanley 1969 Port Stanley Arena Thamesford Trojans Thamesford 1976 Thamesford Area Recreation Centre,,,,,,,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,North Conference,North Conference,,North Conference,North Conference,North Conference,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Carruthers Division,Carruthers Division,,Carruthers Division,Carruthers Division,Carruthers Division,,
