League,Source file,Team,Association,Division,Centre,City/Area,Arena,Founded,0,1,2,3,4,5,6,7,Head coach,Joined,City,Comments,Don Johnson - Jr B,1st Year,Titles,8,9,10,Home
Greater Ontario Junior Hockey League,Greater_Ontario_Junior_Hockey_League.html,,,,,,,,Welland Jr. Canadians,"Welland, Ontario",Welland Arena,1975,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Airdrie Thunder,,,Ron Ebbesen Twin Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Mountainview Colts,,,Didsbury Memorial Complex Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Ponoka Stampeders,,,Ponoka Arena Complex,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Red Deer Vipers,,,Servus Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Rimbey Royals,,,Vern Poffenroth Memorial Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Rocky Rams,,,Rocky Arena Complex,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Sylvan Lake Wranglers,,,Nexsource Centre,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Coaldale Copperheads,,,Coaldale Sportsplex,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Cochrane Generals,,,SLS Centre,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,High River Flyers,,,Bob Snodgrass Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Medicine Hat Cubs,,,Kinplex Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Okotoks Bisons,,,Murray Arena,,,,,,,,,,,,,,,,,,,,,,
Heritage Junior B Hockey League,Heritage_Junior_B_Hockey_League.html,Strathmore Wheatland Kings,,,Strathmore Family Centre Arena,,,,,,,,,,,,,,,,,,,,,,
Island Junior Hockey League,Island_Junior_Hockey_League.html,,,,,,,,Team,Centre,Joined,,,,,,,,,,,,,,,,
Island Junior Hockey League,Island_Junior_Hockey_League.html,,,,,,,,Kensington Vipers,Kensington,1998,,,,,,,,,,,,,,,,
Keystone Junior Hockey League,Keystone_Junior_Hockey_League.html,Cross Lake Islanders,,,,Cross Lake,Cross Lake Sports Complex,2006,,,,,,,,,Jeff Monias,,,,,,,,,,
Keystone Junior Hockey League,Keystone_Junior_Hockey_League.html,NCN Flames,,,,Nelson House,Gilbert McDonald Arena,2019,,,,,,,,,Alex Primrose,,,,,,,,,,
Keystone Junior Hockey League,Keystone_Junior_Hockey_League.html,Norway House North Stars,,,,Norway House,Kinosao Sipi Multiplex,2004,,,,,,,,,Skyler Tait-Reaume,,,,,,,,,,
Keystone Junior Hockey League,Keystone_Junior_Hockey_League.html,OCN Storm,,,,Opaskwayak Cree Nation,Gordon Lathlin Memorial Centre,2012,,,,,,,,,Marcel Fontaine,,,,,,,,,,
Keystone Junior Hockey League,Keystone_Junior_Hockey_League.html,Peguis Juniors,,,,Peguis,Peguis Multiplex,1994,,,,,,,,,Marty Favel,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,,"Team Centre Pierrefonds Barracudas Pierrefonds, Quebec Dollard-des-Ormeaux Vipers Dollard-des-Ormeaux, Quebec Lakeshore Panthers Kirkland, Quebec Trois-Lacs Aigles Vaudreuil, Quebec Trois Cités Phoenix Ville Saint-Laurent, Quebec West Island Royals Dorval, Quebec Beauval Étoiles Valleyfield, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Pierrefonds Barracudas,"Pierrefonds, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Dollard-des-Ormeaux Vipers,"Dollard-des-Ormeaux, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Lakeshore Panthers,"Kirkland, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Trois-Lacs Aigles,"Vaudreuil, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Trois Cités Phoenix,"Ville Saint-Laurent, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,West Island Royals,"Dorval, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Beauval Étoiles,"Valleyfield, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Pierrefonds Barracudas,"Pierrefonds, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Dollard-des-Ormeaux Vipers,"Dollard-des-Ormeaux, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Lakeshore Panthers,"Kirkland, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Trois-Lacs Aigles,"Vaudreuil, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Trois Cités Phoenix,"Ville Saint-Laurent, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,West Island Royals,"Dorval, Quebec",,,,,,,,,,,,,,,,,
Lac St-Louis Junior AA Hockey League,Lac_St-Louis_Junior_AA_Hockey_League.html,,,,,,,,Beauval Étoiles,"Valleyfield, Quebec",,,,,,,,,,,,,,,,,
Lakehead Junior Hockey League,Lakehead_Junior_Hockey_League.html,Current River Storm,,,Thunder Bay,,Current River Arena,,,,,,,,,,,2022,,,,,,,,,
Lakehead Junior Hockey League,Lakehead_Junior_Hockey_League.html,Nipigon Elks,,,Nipigon,,Nipigon Community Ant Hill,,,,,,,,,,,1993,,,,,,,,,
Lakehead Junior Hockey League,Lakehead_Junior_Hockey_League.html,Schreiber Falcons,,,Schreiber,,Schreiber Community Centre,,,,,,,,,,,2011,,,,,,,,,
Lakehead Junior Hockey League,Lakehead_Junior_Hockey_League.html,Thunder Bay Bandits,,,Thunder Bay,,Thunder Bay Tournament Centre,,,,,,,,,,,2020,,,,,,,,,
Lakehead Junior Hockey League,Lakehead_Junior_Hockey_League.html,Thunder Bay Northern Hawks,,,Thunder Bay,,Fort William Gardens,,,,,,,,,,,1999,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,,"Team Centre Boisbriand/Ste-Therese Royals Boisbriand, Quebec Lachute/Deux-Montagnes Knights Lachute, Quebec Lorraine-Rosemere Nationals Lorraine, Quebec Mirabel-Blainville Monarchs Mirabel, Quebec Mont-Laurier Rapids Mont-Laurier, Quebec Mont-Tremblant Devils Mont-Tremblant, Quebec Moulins Gladiators Mascouche, Quebec Repentigny Olympics Repentigny, Quebec St-Eustache Patriots Saint-Eustache, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Boisbriand/Ste-Therese Royals,"Boisbriand, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Lachute/Deux-Montagnes Knights,"Lachute, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Lorraine-Rosemere Nationals,"Lorraine, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Mirabel-Blainville Monarchs,"Mirabel, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Mont-Laurier Rapids,"Mont-Laurier, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Mont-Tremblant Devils,"Mont-Tremblant, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Moulins Gladiators,"Mascouche, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Repentigny Olympics,"Repentigny, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,St-Eustache Patriots,"Saint-Eustache, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Boisbriand/Ste-Therese Royals,"Boisbriand, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Lachute/Deux-Montagnes Knights,"Lachute, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Lorraine-Rosemere Nationals,"Lorraine, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Mirabel-Blainville Monarchs,"Mirabel, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Mont-Laurier Rapids,"Mont-Laurier, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Mont-Tremblant Devils,"Mont-Tremblant, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Moulins Gladiators,"Mascouche, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,Repentigny Olympics,"Repentigny, Quebec",,,,,,,,,,,,,,,,,
Laurentides-Lanaudi re Junior AA Hockey League,Laurentides-Lanaudi_re_Junior_AA_Hockey_League.html,,,,,,,,St-Eustache Patriots,"Saint-Eustache, Quebec",,,,,,,,,,,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Grands-Ducs du Richelieu,,,,,,,,,,,,,,,,,"Varennes, Quebec",Move to Varennes in 2015,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Prédateurs de Brossard,,,,,,,,,,,,,,,,,"Brossard, Quebec",,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Éclaireurs du Richelieu,,,,,,,,,,,,,,,,,"Saint-Hyacinthe, Quebec",,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Sénateurs de Laval,,,,,,,,,,,,,,,,,"Laval, Quebec",,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Royals de Montréal,,,,,,,,,,,,,,,,,"Montreal, Quebec",,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Mariniers de Sorel-Tracy,,,,,,,,,,,,,,,,,"Sorel-Tracy, Quebec",New Team 2021-2022,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Patriotes du Richelieu,,,,,,,,,,,,,,,,,"Saint-Jean sur Richelieu, Quebec",New Team 2021-2022,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Vipers D.D.O,,,,,,,,,,,,,,,,,"Dollard-des-ormaux, Quebec",New Team 2018-2019,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Mustangs de Vaudreuil,,,,,,,,,,,,,,,,,"Vaudreuil, Quebec",Previously Aigles de trois lacs,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Monarques de Mirabel,,,,,,,,,,,,,,,,,"Mirabel, Quebec",New Team 2021-2022,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Patriotes de Saint-Eustache,,,,,,,,,,,,,,,,,"Saint-Eustache, Quebec",New Team 2021-2022,,,,,,,
M tropolitaine Junior AA Hockey League,M_tropolitaine_Junior_AA_Hockey_League.html,Braves de Valleyfield,,,,,,,,,,,,,,,,,"Valleyfield, Quebec",New Team 2021-2022,,,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Caraquet,,,,,,,,,,,,,,,,Acadia Peninsula Poseidon,2023,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Sherwood,,,,,,,,,,,,,,,,A&S Scrap Metal Metros,2015,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Kensington,,,,,,,,,,,,,,,,Kensington Vipers,1998,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Cocagne,,,,,,,,,,,,,,,,Kent Koyotes,2013,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Saint-Quentin,,,,,,,,,,,,,,,,Restigouche West Forestiers,2025,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Moncton,,,,,,,,,,,,,,,,Moncton Vito's,2009,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Cap Pelé,,,,,,,,,,,,,,,,Cap Pelé Knights,2022,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Centre,,,,,,,,,,,,,,,,Maritime-Jr C,1st Year,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Elsipogtog,,,,,,,,,,,,,,,,Elsipogtog Hawks,2023,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Quispamsis,,,,,,,,,,,,,,,,Southern Sting,2015,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Sunny Corner,,,,,,,,,,,,,,,,Sunny Corner Thunder,2014,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Fredericton Junction,,,,,,,,,,,,,,,,Tri-County River Cats,2009,,,,,
New Brunswick Junior B Hockey League,New_Brunswick_Junior_B_Hockey_League.html,,,,Hartland,,,,,,,,,,,,,,,,Western Valley Panthers,2012,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,Cold Lake Ice,,,,,Imperial Oil Place,2001.0,,,,,,,,,,,"Cold Lake, Alberta",,,,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,Killam Wheat Kings,,,,,Killam Agriplex,,,,,,,,,,,,"Killam, Alberta",,,,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,Lloydminster Bandits,,,,,Centennial Civic Centre,,,,,,,,,,,,"Lloydminster, Saskatchewan",,,,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,St. Paul Canadiens,,,,,Clancy Richards Arena,,,,,,,,,,,,"St. Paul, Alberta",,,,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,Vegreville Rangers,,,,,Vegreville Recreation Centre,1974.0,,,,,,,,,,,"Vegreville, Alberta",,,,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,Vermilion Tigers,,,,,Vermilion Stadium,,,,,,,,,,,,"Vermilion, Alberta",,,,,,,,
North Eastern Alberta Junior B Hockey League,North_Eastern_Alberta_Junior_B_Hockey_League.html,Wainwright Bisons,,,,,Peace Memorial Multiplex,,,,,,,,,,,,"Wainwright, Alberta",,,,,,,,
North Saskatchewan Junior B Hockey League,North_Saskatchewan_Junior_B_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
North Saskatchewan Junior B Hockey League,North_Saskatchewan_Junior_B_Hockey_League.html,,,,,,,,Saskatoon Chiefs,Saskatoon,,,,,,,,,,,,,,,,,
North Saskatchewan Junior B Hockey League,North_Saskatchewan_Junior_B_Hockey_League.html,,,,,,,,Saskatoon Quakers,Saskatoon,,,,,,,,,,,,,,,,,
North Saskatchewan Junior B Hockey League,North_Saskatchewan_Junior_B_Hockey_League.html,,,,,,,,Saskatoon Royals,Saskatoon,,,,,,,,,,,,,,,,,
North Saskatchewan Junior B Hockey League,North_Saskatchewan_Junior_B_Hockey_League.html,,,,,,,,Saskatoon Wesleys,Saskatoon,,,,,,,,,,,,,,,,,
North Saskatchewan Junior B Hockey League,North_Saskatchewan_Junior_B_Hockey_League.html,,,,,,,,Tri-Town Thunder,Carrot River,,,,,,,,,,,,,,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,Beaverlodge Blades,,,,,Beaverlodge Arena,1997,,,,,,,,,Phil Sykes,2022,"Beaverlodge, Alberta",,,,0.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,Dawson Creek Kodiaks,,,,,Dawson Creek Memorial Arena,1994[1],,,,,,,,,Colby Wagar,1994[1],"Dawson Creek, British Columbia",,,,2.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,Fairview Flyers,,,,,Fairview Arena,2012,,,,,,,,,Dolan Bjornson,2012,"Fairview, Alberta",,,,1.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,Fort St. John Huskies,,,,,North Peace Arena,1966,,,,,,,,,Todd Alexander,1996,"Fort St. John, British Columbia",,,,8.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,Grande Prairie Kings,,,,,Crosslink County Sportsplex,1994[1],,,,,,,,,Lyndin Lewis,1994[1],"Grande Prairie, Alberta",,,,1.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,La Crete Lumber Barons,,,,,Raymond Knelsen Arena,2022,,,,,,,,,Dion Knelsen,2022,"La Crete, Alberta",,,,1.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,North Peace Navigators,,,,,Baytex Energy Centre,2000,,,,,,,,,Jody Menssa,2000,"Peace River, Alberta",,,,6.0,,,,
North West Junior Hockey League,North_West_Junior_Hockey_League.html,Sexsmith Vipers,,,,,Sexsmith Arena,1994[1],,,,,,,,,Kyle Weegar,1994[1],"Sexsmith, Alberta",,,,1.0,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Fred Fox Division,Fred Fox Division,Fred Fox Division,Fred Fox Division,Fred Fox Division,Fred Fox Division,Fred Fox Division,Fred Fox Division,,,,,,,,Fred Fox Division,Fred Fox Division,Fred Fox Division,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Brookfield Elks,Brookfield,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Capstone Colts,Cole Harbour,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,East Hants Penguins,Lantz,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,South Shore Lumberjacks,Bridgewater,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Sackville Blazers,Sackville,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Windsor Oxen,Windsor,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,,,,,,,,Sid Rowe Division,Sid Rowe Division,Sid Rowe Division,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Antigonish Bulldogs,Antigonish,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Eskasoni Junior Eagles,Eskasoni First Nation,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Membertou Jr. Miners,Membertou,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Pictou County Scotians,Trenton,,,,,,,,,,,,,,,,,
Nova Scotia Junior Hockey League,Nova_Scotia_Junior_Hockey_League.html,,,,,,,,Strait Pirates,Port Hawkesbury,,,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Bob Dybvig (North Division),Bob Dybvig (North Division),Bob Dybvig (North Division),Bob Dybvig (North Division),,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Team,City,Arena,Joined PJHL,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Carrot River Outback Thunder,Carrot River,Kearns Arena,2005,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Martensville Chiefs,Martensville,Martensville Sports Centre,2008 (Delisle) 2025 (Martensville),,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Prince Albert Timberjaks,Prince Albert,Northern Regional Recreation Centre (Buckland),2023,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Saskatoon Quakers,Saskatoon,Harold Latrace/Rod Hamm Arena,2007,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Saskatoon Royals,Saskatoon,Harold Latrace/Rod Hamm Arena,2007,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Saskatoon Westleys,Saskatoon,Harold Latrace/Rod Hamm Arena,2007,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Bill Johnston (South Division),Bill Johnston (South Division),Bill Johnston (South Division),Bill Johnston (South Division),,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Team,City,Arena,Joined PJHL/SSJHL,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Assiniboia Southern Rebels,Assiniboia,Southland Co-op Centre,1992,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Fort Knox,Fort Qu'Appelle,Prairie Co-op Rexentre,1996,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Moosomin Steel Hawks,Moosomin,Mike Schwean Arena,2025,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Pilot Butte Storm,Pilot Butte,Pilot Butte Recreation Centre,1993,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Regina Capitals,Regina,Al Ritchie Arena,1992,,,,,,,,,,,,,,,
Prairie Junior Hockey League,Prairie_Junior_Hockey_League.html,,,,,,,,Regina Silver Foxes,Regina,Doug Wickenheiser Arena,2013,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,,"Team Centre Alma Aiglons Alma, Quebec Chicoutimi Saguenéens Chicoutimi, Quebec Jonquiere Marquis Jonquière, Quebec Roberval Sabres Roberval, Quebec Normandin Eperviers Normandin, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Alma Aiglons,"Alma, Quebec",,,,,,,,,,,,,,,,,
Saguenay-Lac-St-Jean Junior AA Hockey League,Saguenay-Lac-St-Jean_Junior_AA_Hockey_League.html,,,,,,,,Chicoutimi Saguenéens,"Chicoutimi, Quebec",,,,,,,,,,,,,,,,,
