League,Source file,Team,Association,Division,Centre,City/Area,Arena,Founded,0,1,2,3,4,5,6,7,Head coach,Joined,City,Comments,Don Johnson - Jr B,1st Year,Titles,8,9,10,Home
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Québec-Ouest Noroîts,"Sainte-Foy, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Quebec Maurice,"Frontenac, Québec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Champlain College Cougars,"Quebec City, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Charlevoix Montagnards,"Baie-Saint-Paul, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,MRC Portneuf Tomahawks,"Portneuf, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Montmorency Armada,"Charlesbourg, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Montmorency Battalion,"Charlesbourg, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Québec-Ouest Gouverneurs,"Sainte-Foy, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Québec-Ouest Noroîts,"Sainte-Foy, Quebec",,,,,,,,,,,,,,,,,
Capitale Junior AA Hockey League,Capitale_Junior_AA_Hockey_League.html,,,,,,,,Quebec Maurice,"Frontenac, Québec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,,"Chaudiere Division Team Centre St-Georges Assurancia Saint-Georges, Quebec Beauce-Centre Bulldogs Saint-Joseph-de-Beauce, Quebec Disraeli Cité Construction Disraeli, Quebec Plessisville Boutin Express Plessisville, Québec Ste-Marie Beaucerons Sainte-Marie, Quebec Appalaches Division Team Centre Bellechasse Lafontaine Saint-Anselme, Quebec Levis Levy Honda Lévis, Quebec Lotbiniere Model Saint-Agapit, Quebec Montmagny Caron Industries Montmagny, Quebec St-Romuald L'Expert Lévis, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Chaudiere Division,Chaudiere Division,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,St-Georges Assurancia,"Saint-Georges, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Beauce-Centre Bulldogs,"Saint-Joseph-de-Beauce, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Disraeli Cité Construction,"Disraeli, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Plessisville Boutin Express,"Plessisville, Québec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Ste-Marie Beaucerons,"Sainte-Marie, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Appalaches Division,Appalaches Division,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Bellechasse Lafontaine,"Saint-Anselme, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Levis Levy Honda,"Lévis, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Lotbiniere Model,"Saint-Agapit, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Montmagny Caron Industries,"Montmagny, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,St-Romuald L'Expert,"Lévis, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Chaudiere Division,Chaudiere Division,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,St-Georges Assurancia,"Saint-Georges, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Beauce-Centre Bulldogs,"Saint-Joseph-de-Beauce, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Disraeli Cité Construction,"Disraeli, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Plessisville Boutin Express,"Plessisville, Québec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Ste-Marie Beaucerons,"Sainte-Marie, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Appalaches Division,Appalaches Division,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Team,Centre,,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Bellechasse Lafontaine,"Saint-Anselme, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Levis Levy Honda,"Lévis, Quebec",,,,,,,,,,,,,,,,,
Chaudiere-Appalaches Junior AA Hockey League,Chaudiere-Appalaches_Junior_AA_Hockey_League.html,,,,,,,,Lotbiniere Model,"Saint-Agapit, Quebec",,,,,,,,,,,,,,,,,
