League,Source file,0,1,2,3,4,5,6,Division,Team,Joined,Location,Arena,Conference
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,South East,Yorktown Admirals,2026.0,"Yorktown, Virginia",Chilled Ponds Ice Center,South
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Fresno Monsters,2026.0,"Fresno, California",Gateway Ice Center,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Lake Tahoe Lakers,2026.0,"South Lake Tahoe, California",South Lake Tahoe Ice Arena,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,McCall Smokejumpers,2026.0,"McCall, Idaho",Manchester Ice and Event Centre,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Ontario Jr. Reign,2026.0,"Ontario, California",Ontario Ice Skating Center,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Ventura Vikings,2026.0,"Simi Valley, California",Iceoplex Simi Valley,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Vernal Oilers,2026.0,"Vernal, Utah",Western Park Ice Rink,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,,,,,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,,,,,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,,,,,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,,,,,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,,,,,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,,,,,Mountain
