League,Source file,0,1,2,3,4,5,6,Division,Team,Joined,Location,Arena,Conference
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Ventura Vikings,2026.0,"Simi Valley, California",Iceoplex Simi Valley,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Vernal Oilers,2026.0,"Vernal, Utah",Western Park Ice Rink,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,,,,,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,,,,,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,,,,,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,,,,,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,,,,,Mountain
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,,,,,Mountain
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Connecticut Jr. Rangers,2017.0,"Stamford, Connecticut",Chelsea Piers Connecticut,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Jersey Hitmen,2017.0,"Wayne, New Jersey",Ice Vault Arena,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Mercer Chiefs,2022.0,"Hamilton, New Jersey",Ice Land Skating Center,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,P.A.L. Jr. Islanders,2017.0,"Hauppauge, New York",Northwell Health Ice Center,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Rockets Hockey Club,2017.0,"Bridgewater, New Jersey",Bridgewater Sports Arena,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,West Chester Wolves,2024.0,"West Chester, Pennsylvania",PNY Sports Arena,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Wilkes-Barre/Scranton Knights,2022.0,"Pittston, Pennsylvania",Revolution Ice Center,Atlantic
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Connecticut RoughRiders,2026.0,"Norwalk, Connecticut",SoNo Ice House,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,CT Chiefs North,2025.0,"Biddeford, Maine",Biddeford Ice Arena,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,NY Dynamo,2024.0,"Clifton Park, New York",Capital Ice Arena,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Red Bank Generals,2026.0,"Red Bank, New Jersey",Red Bank Armory,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Springfield Pics,2025.0,"West Springfield, Massachusetts",Olympia Ice Center,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Utica Jr. Comets,2017.0,"Utica, New York",Utica University Nexus Center,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Universel Sherbrooke,2025.0,"Jay, Vermont",The Rinks at Vermont,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Syracuse Lightning,2026.0,"Baldwinsville, New York",Three Rivers Athletic Complex,Colonial
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Boston Dogs,2024.0,"Canton, Massachusetts",Canton Ice Center,Metropolitan
United States Premier Hockey League,United_States_Premier_Hockey_League.html,,,,,,,,,Boston Jr. Rangers,2024.0,"Tewksbury, Massachusetts",Breakaway Ice Center,Metropolitan
