Tournament,2002 Hatsu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,1-3-11
Takanohana,Y,0-0-15
Kaio,O,9-6-0
Musoyama,O,10-5-0
Chiyotaikai,O,13-2-0
Tochiazuma,O,13-2-0*
Kotomitsuki,S,12-3-0
Asashoryu,S,8-7-0
Miyabiyama,S,0-0-15
Wakanosato,K,8-7-0
Kyokutenho,K,6-9-0
Kyokushuzan,M1,6-9-0
Akinoshima,M1,6-9-0
Tamanoshima,M2,3-12-0
Toki,M2,6-9-0
Kaiho,M3,5-10-0
Takanonami,M3,8-7-0
Chiyotenzan,M4,3-7-5
Dejima,M4,6-9-0
Takanowaka,M5,3-4-8
Kotonowaka,M5,8-7-0
Tochinonada,M6,8-7-0
Hayateumi,M6,0-0-15
Tosanoumi,M7,9-6-0
Otsukasa,M7,8-7-0
Buyuzan,M8,11-4-0
Daizen,M8,7-8-0
Tamakasuga,M9,8-7-0
Kobo,M9,3-12-0
Aminishiki,M10,9-6-0
Tamarikido,M10,4-11-0
Tokitsuumi,M11,11-4-0
Oikari,M11,5-10-0
Wakanoyama,M12,5-10-0
Asanowaka,M12,3-12-0
Oginishiki,M13,7-8-0
Hamanishiki,M13,8-7-0
Tochisakae,M14,9-6-0
Jumonji,M14,6-9-0
Sentoryu,M15,6-9-0
