Tournament,2002 Aki basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,13-2-0*
Takanohana,Y,12-3-0
Chiyotaikai,O,10-5-0
Tochiazuma,O,0-0-15
Kaio,O,12-3-0
Musoyama,O,8-7-0
Asashoryu,O,10-5-0
Wakanosato,S,8-7-0
Tosanoumi,S,6-9-0
Takamisakari,K,4-11-0
Takanonami,K,7-8-0
Miyabiyama,M1,7-8-0
Tochinonada,M1,4-11-0
Shimotori,M2,5-10-0
Toki,M2,4-11-0
Kyokutenho,M3,8-7-0
Kotoryu,M3,5-10-0
Tochisakae,M4,2-9-4
Takanowaka,M4,8-7-0
Tamanoshima,M5,8-7-0
Buyuzan,M5,5-10-0
Hokutoriki,M6,9-6-0
Tokitsuumi,M6,7-8-0
Kotomitsuki,M7,12-3-0
Aminishiki,M7,7-8-0
Kaiho,M8,0-0-15
Tamakasuga,M8,10-5-0
Kotonowaka,M9,0-0-15
Gojoro,M9,8-7-0
Dejima,M10,0-0-15
Kasuganishiki,M10,5-10-0
Daizen,M11,4-11-0
Kyokushuzan,M11,9-6-0
Wakanoyama,M12,8-7-0
Otsukasa,M12,5-10-0
Akinoshima,M13,7-8-0
Asanowaka,M13,7-8-0
Tochinohana,M14,8-7-0
Aogiyama,M14,0-0-15
Ushiomaru,M15,9-6-0
