Tournament,2002 Nagoya basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,10-5-0
Takanohana,Y,0-0-15
Kaio,O,0-4-11
Chiyotaikai,O,14-1-0*
Tochiazuma,O,3-2-10
Musoyama,O,0-0-15
Asashoryu,S,12-3-0
Wakanosato,S,11-4-0
Miyabiyama,K,6-9-0
Tosanoumi,K,10-5-0
Tochinonada,M1,7-8-0
Kotonowaka,M1,2-9-4
Takamisakari,M2,9-6-0
Kyokushuzan,M2,1-14-0
Dejima,M3,2-3-10
Kotoryu,M3,0-0-15
Takanowaka,M4,7-8-0
Kaiho,M4,5-8-2
Aminishiki,M5,6-9-0
Hokutoriki,M5,7-8-0
Tamakasuga,M6,6-7-2
Kotomitsuki,M6,7-8-0
Toki,M7,8-7-0
Takanonami,M7,9-6-0
Kyokutenho,M8,8-7-0
Shimotori,M8,9-6-0
Otsukasa,M9,5-10-0
Daizen,M9,6-9-0
Wakanoyama,M10,6-9-0
Tochisakae,M10,9-3-3
Tokitsuumi,M11,8-7-0
Akinoshima,M11,6-9-0
Jumonji,M12,5-10-0
Aogiyama,M12,6-7-2
Hayateumi,M13,6-9-0
Chiyotenzan,M13,5-10-0
Hamanishiki,M14,4-11-0
Buyuzan,M14,10-5-0
Oikari,M15,7-8-0
Tamanoshima,M15,11-4-0
