Tournament,2002 Haru basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,13-2-0*
Takanohana,Y,0-0-15
Tochiazuma,O,10-5-0
Chiyotaikai,O,7-8-0
Musoyama,O,10-5-0
Kaio,O,12-3-0
Kotomitsuki,S,8-7-0
Asashoryu,S,11-4-0
Wakanosato,K,9-6-0
Takanonami,K,6-9-0
Buyuzan,M1,0-3-12
Tosanoumi,M1,7-8-0
Kyokutenho,M2,6-9-0
Kotonowaka,M2,4-11-0
Tochinonada,M3,8-7-0
Kyokushuzan,M3,2-13-0
Akinoshima,M4,7-8-0
Tokitsuumi,M4,2-6-7
Toki,M5,8-7-0
Otsukasa,M5,6-9-0
Aminishiki,M6,10-5-0
Hayateumi,M6,0-2-13
Dejima,M7,6-9-0
Tamakasuga,M7,8-7-0
Miyabiyama,M8,9-6-0
Kaiho,M8,7-8-0
Tamanoshima,M9,6-9-0
Daizen,M9,9-6-0
Tochisakae,M10,5-10-0
Chiyotenzan,M10,0-0-15
Hamanishiki,M11,7-8-0
Takanowaka,M11,11-4-0
Shimotori,M12,6-9-0
Oikari,M12,7-8-0
Takamisakari,M13,9-6-0
Towanoyama,M13,0-1-14
Oginishiki,M14,4-11-0
Takatoriki,M14,6-9-0
Tamarikido,M15,4-11-0
Wakanoyama,M15,9-6-0
