Tournament,2002 Natsu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,13-2-0*
Takanohana,Y,0-0-15
Kaio,O,11-4-0
Tochiazuma,O,10-5-0
Musoyama,O,9-5-1
Chiyotaikai,O,11-4-0
Asashoryu,S,11-4-0
Kotomitsuki,S,0-0-15
Wakanosato,K,8-7-0
Tochinonada,K,7-8-0
Aminishiki,M1,5-10-0
Toki,M1,4-11-0
Takanonami,M2,4-11-0
Tosanoumi,M2,8-7-0
Miyabiyama,M3,10-5-0
Takanowaka,M3,7-8-0
Daizen,M4,4-11-0
Kyokutenho,M4,6-9-0
Akinoshima,M5,3-12-0
Tamakasuga,M5,7-8-0
Kotonowaka,M6,9-6-0
Takamisakari,M6,8-7-0
Otsukasa,M7,7-8-0
Wakanoyama,M7,6-9-0
Kotoryu,M8,8-7-0
Kaiho,M8,8-7-0
Dejima,M9,9-6-0
Jumonji,M9,6-9-0
Kyokushuzan,M10,10-5-0
Chiyotenzan,M10,5-10-0
Tokitsuumi,M11,0-0-15
Tamanoshima,M11,5-10-0
Hamanishiki,M12,6-9-0
Buyuzan,M12,6-9-0
Oikari,M13,6-9-0
Tochinohana,M13,6-9-0
Hokutoriki,M14,11-4-0
Shimotori,M14,10-5-0
Tochisakae,M15,8-7-0
Asanowaka,M15,6-9-0
