Tournament,2002 Kyushu basho results - Makuuchi Division
Name,Rank,Record
Musashimaru,Y,4-2-9
Takanohana,Y,0-0-15
Kaio,O,2-2-11
Chiyotaikai,O,6-3-6
Asashoryu,O,14-1-0*
Musoyama,O,10-5-0
Tochiazuma,O,8-7-0
Wakanosato,S,7-8-0
Kotomitsuki,S,8-7-0
Kyokutenho,K,7-8-0
Takanowaka,K,11-4-0
Takanonami,M1,10-5-0
Tosanoumi,M1,8-7-0
Miyabiyama,M2,8-7-0
Hokutoriki,M2,5-10-0
Tamakasuga,M3,2-13-0
Tamanoshima,M3,5-10-0
Takamisakari,M4,5-10-0
Gojoro,M4,4-11-0
Kyokushuzan,M5,7-8-0
Shimotori,M5,7-8-0
Tochinonada,M6,6-9-0
Kotoryu,M6,7-8-0
Toki,M7,9-6-0
Tokitsuumi,M7,8-7-0
Kaiho,M8,8-7-0
Aminishiki,M8,9-6-0
Kotonowaka,M9,10-5-0
Wakanoyama,M9,8-7-0
Dejima,M10,10-5-0
Ushiomaru,M10,3-7-5
Buyuzan,M11,4-11-0
Iwakiyama,M11,10-5-0
Tochinohana,M12,6-9-0
Tochisakae,M12,0-6-9
Tamarikido,M13,6-9-0
Jumonji,M13,8-7-0
Akinoshima,M14,9-6-0
Aogiyama,M14,6-9-0
Asanowaka,M15,5-10-0
